Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,47.61719042699784
FAIL,Trace 1,15,10.432395451795038
SUCCESS,Trace 1,62,49.276916967234605
SUCCESS,Trace 1,62,46.21797225435008
SUCCESS,Trace 1,62,47.317629570278086
FAIL,Trace 1,16,11.667836086025323
SUCCESS,Trace 1,38,30.595622619032238
SUCCESS,Trace 1,36,26.411150192917148
FAIL,Trace 1,23,17.28688782361648
SUCCESS,Trace 1,62,45.08456302624709
SUCCESS,Trace 1,62,46.686265553092355
SUCCESS,Trace 1,62,47.1692811919939
SUCCESS,Trace 1,62,44.82022116903637
FAIL,Trace 1,9,5.419824430244169
FAIL,Trace 1,18,12.55183992213146
SUCCESS,Trace 1,34,24.63151299668031
SUCCESS,Trace 1,38,30.681773141947602
FAIL,Trace 1,20,13.069329536449384
SUCCESS,Trace 1,62,46.18365835565912
SUCCESS,Trace 1,62,46.38452565208046
SUCCESS,Trace 1,62,48.941880763977515
FAIL,Trace 1,14,10.766227026672222
FAIL,Trace 1,9,5.235017974426437
FAIL,Trace 1,8,4.663532467873768
FAIL,Trace 1,14,9.862918749512401
FAIL,Trace 1,16,10.785599390195566
SUCCESS,Trace 1,39,29.99691270705597
FAIL,Trace 1,15,10.915631962238347
FAIL,Trace 1,11,7.01954664101975
SUCCESS,Trace 1,38,28.128708932434392
SUCCESS,Trace 1,62,47.6496690966485
SUCCESS,Trace 1,62,47.35229694288801
FAIL,Trace 1,10,6.486348441571344
FAIL,Trace 1,13,8.620220262811404
SUCCESS,Trace 1,62,46.81410112419786
SUCCESS,Trace 1,62,45.81858392903399
FAIL,Trace 1,13,8.831721125240092
SUCCESS,Trace 1,62,45.21959844434697
SUCCESS,Trace 1,62,47.21929395782124
SUCCESS,Trace 1,39,27.78526490504034
FAIL,Trace 1,12,8.344418435296136
SUCCESS,Trace 1,62,44.80042428055795
FAIL,Trace 1,25,17.217971051953395
SUCCESS,Trace 1,58,43.15179108665367
SUCCESS,Trace 1,62,48.82022116903634
SUCCESS,Trace 1,62,45.335373920717934
SUCCESS,Trace 1,62,48.59630478670448
SUCCESS,Trace 1,62,47.7174132031762
SUCCESS,Trace 1,52,38.386265553124076
SUCCESS,Trace 1,62,46.785458130141485
FAIL,Trace 1,16,10.25293221813444
FAIL,Trace 1,8,4.4327698145948125
FAIL,Trace 1,22,15.399737079296466
SUCCESS,Trace 1,31,25.994237988658288
FAIL,Trace 1,15,10.96767417745344
SUCCESS,Trace 1,62,48.00915379025875
FAIL,Trace 1,16,10.649458926350661
FAIL,Trace 1,14,9.801687367797966
SUCCESS,Trace 1,62,47.684230582559266
SUCCESS,Trace 1,44,31.867582439501017
SUCCESS,Trace 1,39,28.018931572416605
SUCCESS,Trace 1,62,45.73598824348565
SUCCESS,Trace 1,62,46.08559811765658
SUCCESS,Trace 1,62,45.449617916347485
FAIL,Trace 1,21,14.897948368112006
FAIL,Trace 1,17,11.152931778253276
SUCCESS,Trace 1,31,21.83360782202268
FAIL,Trace 1,11,7.7996493358209795
SUCCESS,Trace 1,62,46.15288578430648
SUCCESS,Trace 1,43,34.26017641907918
SUCCESS,Trace 1,62,47.96463293445615
SUCCESS,Trace 1,62,47.231831060024966
SUCCESS,Trace 1,62,46.28592052736445
FAIL,Trace 1,9,5.930670568792097
SUCCESS,Trace 1,51,38.46405076365279
SUCCESS,Trace 1,62,49.015774137384554
SUCCESS,Trace 1,62,49.98034093373847
FAIL,Trace 1,26,18.396854286420044
SUCCESS,Trace 1,62,46.68426926611178
SUCCESS,Trace 1,62,47.185240649244946
SUCCESS,Trace 1,39,27.815190202882057
SUCCESS,Trace 1,62,45.20266286999659
SUCCESS,Trace 1,62,46.44653026644074
SUCCESS,Trace 1,62,45.48626555309111
SUCCESS,Trace 1,48,35.328360633261774
SUCCESS,Trace 1,41,30.085178018476903
FAIL,Trace 1,15,11.050726761571605
SUCCESS,Trace 1,30,22.234707773324555
FAIL,Trace 1,14,10.31319548766289
SUCCESS,Trace 1,62,45.85226607257395
FAIL,Trace 1,22,18.583402000049336
SUCCESS,Trace 1,43,32.71668639964109
FAIL,Trace 1,6,2.5987111013530777
SUCCESS,Trace 1,62,50.649575268295855
SUCCESS,Trace 1,62,45.82899458158048
FAIL,Trace 1,29,19.65226560202922
SUCCESS,Trace 1,35,25.95027015059542
SUCCESS,Trace 1,62,46.86488794411476
SUCCESS,Trace 1,33,26.111822329248845
SUCCESS,Trace 1,62,45.851031597666676
SUCCESS,Trace 1,62,45.21959888645734
SUCCESS,Trace 1,62,50.915294504771616
SUCCESS,Trace 1,40,28.268705053012177
FAIL,Trace 1,6,2.8998990645684235
FAIL,Trace 1,16,12.110871817741511
SUCCESS,Trace 1,62,44.91955316435691
