Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,15,12.0
SUCCESS,Trace 1,62,46.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,16,5.0
SUCCESS,Trace 1,38,16.0
SUCCESS,Trace 1,36,0.0
SUCCESS,Trace 1,23,22.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,50.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,9,8.0
SUCCESS,Trace 1,18,7.0
SUCCESS,Trace 1,34,22.0
SUCCESS,Trace 1,38,14.0
SUCCESS,Trace 1,20,0.0
SUCCESS,Trace 1,62,50.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,14,11.0
SUCCESS,Trace 1,9,6.0
SUCCESS,Trace 1,8,0.0
SUCCESS,Trace 1,14,0.0
SUCCESS,Trace 1,16,13.0
SUCCESS,Trace 1,39,6.0
SUCCESS,Trace 1,15,5.0
SUCCESS,Trace 1,11,9.0
SUCCESS,Trace 1,38,24.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,13,12.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,13,0.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,39,31.0
SUCCESS,Trace 1,12,7.0
SUCCESS,Trace 1,62,26.0
SUCCESS,Trace 1,25,20.0
SUCCESS,Trace 1,58,44.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,46.0
SUCCESS,Trace 1,52,49.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,16,13.0
SUCCESS,Trace 1,8,3.0
SUCCESS,Trace 1,22,17.0
SUCCESS,Trace 1,31,9.0
SUCCESS,Trace 1,15,9.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,16,0.0
SUCCESS,Trace 1,14,10.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,44,30.0
SUCCESS,Trace 1,39,35.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,21,14.0
SUCCESS,Trace 1,17,15.0
SUCCESS,Trace 1,31,21.0
SUCCESS,Trace 1,11,10.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,43,5.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,9,8.0
SUCCESS,Trace 1,51,50.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,26,17.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,39,17.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,48,30.0
SUCCESS,Trace 1,41,29.0
SUCCESS,Trace 1,15,1.0
SUCCESS,Trace 1,30,27.0
SUCCESS,Trace 1,14,8.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,22,18.0
SUCCESS,Trace 1,43,33.0
SUCCESS,Trace 1,6,2.0
SUCCESS,Trace 1,62,43.0
SUCCESS,Trace 1,62,26.0
SUCCESS,Trace 1,29,26.0
SUCCESS,Trace 1,35,33.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,33,21.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,43.0
SUCCESS,Trace 1,40,35.0
SUCCESS,Trace 1,6,2.0
SUCCESS,Trace 1,16,8.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,17,8.0
SUCCESS,Trace 1,12,10.0
SUCCESS,Trace 1,19,5.0
SUCCESS,Trace 1,41,33.0
SUCCESS,Trace 1,6,2.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,7,0.0
SUCCESS,Trace 1,62,54.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,5,0.0
SUCCESS,Trace 1,16,1.0
SUCCESS,Trace 1,9,1.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,11,10.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,20,15.0
SUCCESS,Trace 1,8,0.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,9,5.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,24,6.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,5,3.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,22,15.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,21,18.0
SUCCESS,Trace 1,12,0.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,39,38.0
SUCCESS,Trace 1,33,24.0
SUCCESS,Trace 1,60,56.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,10,9.0
SUCCESS,Trace 1,62,35.0
SUCCESS,Trace 1,14,13.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,61,52.0
SUCCESS,Trace 1,61,39.0
SUCCESS,Trace 1,16,15.0
SUCCESS,Trace 1,53,45.0
SUCCESS,Trace 1,62,43.0
SUCCESS,Trace 1,5,3.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,7,6.0
SUCCESS,Trace 1,8,6.0
SUCCESS,Trace 1,8,3.0
SUCCESS,Trace 1,21,8.0
SUCCESS,Trace 1,11,7.0
SUCCESS,Trace 1,9,0.0
SUCCESS,Trace 1,11,9.0
SUCCESS,Trace 1,12,11.0
SUCCESS,Trace 1,5,4.0
SUCCESS,Trace 1,21,18.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,12,3.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,19,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,17,5.0
SUCCESS,Trace 1,57,45.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,53,51.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,12,0.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,12,9.0
SUCCESS,Trace 1,15,0.0
SUCCESS,Trace 1,11,2.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,30,27.0
SUCCESS,Trace 1,62,34.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,8,6.0
SUCCESS,Trace 1,6,2.0
SUCCESS,Trace 1,48,41.0
SUCCESS,Trace 1,8,6.0
SUCCESS,Trace 1,12,6.0
SUCCESS,Trace 1,28,17.0
SUCCESS,Trace 1,27,20.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,34,21.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,13,11.0
SUCCESS,Trace 1,31,24.0
SUCCESS,Trace 1,12,0.0
SUCCESS,Trace 1,62,38.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,22,12.0
SUCCESS,Trace 1,19,17.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,15,2.0
SUCCESS,Trace 1,38,35.0
SUCCESS,Trace 1,49,47.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,5,2.0
SUCCESS,Trace 1,51,37.0
SUCCESS,Trace 1,27,24.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,14,6.0
SUCCESS,Trace 1,8,1.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,29.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,15,10.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,19,18.0
SUCCESS,Trace 1,14,4.0
SUCCESS,Trace 1,5,2.0
SUCCESS,Trace 1,9,7.0
SUCCESS,Trace 1,62,34.0
SUCCESS,Trace 1,15,11.0
SUCCESS,Trace 1,51,36.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,11,0.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,14,6.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,50.0
SUCCESS,Trace 1,13,4.0
SUCCESS,Trace 1,20,0.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,42.0
SUCCESS,Trace 1,4,2.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,8,3.0
SUCCESS,Trace 1,30,24.0
SUCCESS,Trace 1,16,0.0
SUCCESS,Trace 1,25,24.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,48,31.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,7,4.0
SUCCESS,Trace 1,5,3.0
SUCCESS,Trace 1,38,22.0
SUCCESS,Trace 1,62,21.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,14,2.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,52.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,36,30.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,26,23.0
SUCCESS,Trace 1,16,0.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,48,33.0
SUCCESS,Trace 1,12,10.0
SUCCESS,Trace 1,8,5.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,50.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,19,3.0
SUCCESS,Trace 1,49,41.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,13,4.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,6,4.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,55,50.0
SUCCESS,Trace 1,7,2.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,22,19.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,17,9.0
SUCCESS,Trace 1,50,11.0
SUCCESS,Trace 1,6,3.0
SUCCESS,Trace 1,17,15.0
SUCCESS,Trace 1,5,1.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,21,5.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,52,36.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,12,7.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,17,0.0
SUCCESS,Trace 1,22,15.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,32,25.0
SUCCESS,Trace 1,56,53.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,32,30.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,15,13.0
SUCCESS,Trace 1,30,20.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,36,30.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,61,44.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,8,0.0
SUCCESS,Trace 1,43,33.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,19,10.0
SUCCESS,Trace 1,47,4.0
SUCCESS,Trace 1,21,13.0
SUCCESS,Trace 1,25,24.0
SUCCESS,Trace 1,21,13.0
SUCCESS,Trace 1,8,7.0
SUCCESS,Trace 1,13,0.0
SUCCESS,Trace 1,17,9.0
SUCCESS,Trace 1,16,10.0
SUCCESS,Trace 1,58,30.0
SUCCESS,Trace 1,6,0.0
SUCCESS,Trace 1,13,3.0
SUCCESS,Trace 1,13,3.0
SUCCESS,Trace 1,19,18.0
SUCCESS,Trace 1,7,0.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,29,12.0
SUCCESS,Trace 1,8,5.0
SUCCESS,Trace 1,13,4.0
SUCCESS,Trace 1,52,44.0
SUCCESS,Trace 1,52,34.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,26,23.0
SUCCESS,Trace 1,29,28.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,24,16.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,48.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,25,9.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,10,4.0
SUCCESS,Trace 1,13,12.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,28,24.0
SUCCESS,Trace 1,62,34.0
SUCCESS,Trace 1,17,9.0
SUCCESS,Trace 1,7,4.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,37.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,7,5.0
SUCCESS,Trace 1,18,16.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,26,23.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,20,15.0
SUCCESS,Trace 1,6,2.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,5,2.0
SUCCESS,Trace 1,4,2.0
SUCCESS,Trace 1,62,37.0
SUCCESS,Trace 1,7,0.0
SUCCESS,Trace 1,27,24.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,8,2.0
SUCCESS,Trace 1,29,18.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,13,9.0
SUCCESS,Trace 1,20,15.0
SUCCESS,Trace 1,24,22.0
SUCCESS,Trace 1,53,45.0
SUCCESS,Trace 1,53,46.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,25,24.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,20,18.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,24,10.0
SUCCESS,Trace 1,7,2.0
SUCCESS,Trace 1,11,8.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,20,19.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,56,25.0
SUCCESS,Trace 1,62,50.0
SUCCESS,Trace 1,18,15.0
SUCCESS,Trace 1,62,38.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,46,45.0
SUCCESS,Trace 1,9,8.0
SUCCESS,Trace 1,9,0.0
SUCCESS,Trace 1,18,11.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,9,8.0
SUCCESS,Trace 1,52,35.0
SUCCESS,Trace 1,35,32.0
SUCCESS,Trace 1,62,54.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,13,0.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,15,11.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,50,47.0
SUCCESS,Trace 1,6,3.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,46.0
SUCCESS,Trace 1,56,41.0
SUCCESS,Trace 1,9,7.0
SUCCESS,Trace 1,25,18.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,48,20.0
SUCCESS,Trace 1,8,0.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,8,0.0
SUCCESS,Trace 1,62,45.0
