Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,22.881283538248592
SUCCESS,Trace 1,15,24.643796213658607
SUCCESS,Trace 1,62,23.75806125068525
SUCCESS,Trace 1,62,21.569807995643966
SUCCESS,Trace 1,62,22.55341473084553
SUCCESS,Trace 1,16,26.58179142579487
SUCCESS,Trace 1,38,25.952716822416676
SUCCESS,Trace 1,36,23.947957285510682
SUCCESS,Trace 1,23,24.57992228594693
SUCCESS,Trace 1,62,20.9960376093693
SUCCESS,Trace 1,62,21.733742528620496
SUCCESS,Trace 1,62,22.378685999422522
SUCCESS,Trace 1,62,20.586201519262595
SUCCESS,Trace 1,9,23.620275408029556
SUCCESS,Trace 1,18,24.51519433065488
SUCCESS,Trace 1,34,22.879639875839583
SUCCESS,Trace 1,38,25.974102348357263
SUCCESS,Trace 1,20,23.20224874898007
SUCCESS,Trace 1,62,21.73374251105577
SUCCESS,Trace 1,62,21.8157097916861
SUCCESS,Trace 1,62,23.676093573047876
SUCCESS,Trace 1,14,28.07937168117419
SUCCESS,Trace 1,9,23.46958859918008
SUCCESS,Trace 1,8,26.12142246999634
SUCCESS,Trace 1,14,26.563072353310435
SUCCESS,Trace 1,16,22.73321958347739
SUCCESS,Trace 1,39,25.394390749608856
SUCCESS,Trace 1,15,26.60549780482231
SUCCESS,Trace 1,11,23.395186223710688
SUCCESS,Trace 1,38,23.061535100191005
SUCCESS,Trace 1,62,22.55341140044775
SUCCESS,Trace 1,62,22.471447291921166
SUCCESS,Trace 1,10,28.137562804751926
SUCCESS,Trace 1,13,23.89652480681737
SUCCESS,Trace 1,62,22.30732201161175
SUCCESS,Trace 1,62,21.241939213126187
SUCCESS,Trace 1,13,26.066737635711593
SUCCESS,Trace 1,62,20.83210318255231
SUCCESS,Trace 1,62,22.061424278533647
SUCCESS,Trace 1,39,21.600266918895656
SUCCESS,Trace 1,12,26.198133672912117
SUCCESS,Trace 1,62,21.395079758944256
SUCCESS,Trace 1,25,21.90875602563317
SUCCESS,Trace 1,58,22.235447717588432
SUCCESS,Trace 1,62,23.04521795179023
SUCCESS,Trace 1,62,20.90327632854704
SUCCESS,Trace 1,62,22.949214736945294
SUCCESS,Trace 1,62,22.88128354445626
SUCCESS,Trace 1,52,21.6862411153247
SUCCESS,Trace 1,62,22.225545833294493
SUCCESS,Trace 1,16,21.26335295797714
SUCCESS,Trace 1,8,25.71823498656143
SUCCESS,Trace 1,22,22.904605170837517
SUCCESS,Trace 1,31,28.200819256490664
SUCCESS,Trace 1,15,26.369917555486897
SUCCESS,Trace 1,62,22.938632522973474
SUCCESS,Trace 1,16,24.87486187616984
SUCCESS,Trace 1,14,24.826935279071773
SUCCESS,Trace 1,62,22.553414711436922
SUCCESS,Trace 1,44,22.209204908467008
SUCCESS,Trace 1,39,21.47363965953332
SUCCESS,Trace 1,62,21.23114183492111
SUCCESS,Trace 1,62,21.405873643846544
SUCCESS,Trace 1,62,21.568386194509586
SUCCESS,Trace 1,21,23.31855993424564
SUCCESS,Trace 1,17,22.234893381573325
SUCCESS,Trace 1,31,21.838668834124174
SUCCESS,Trace 1,11,26.456786155700684
SUCCESS,Trace 1,62,21.81570970731951
SUCCESS,Trace 1,43,26.054099728068536
SUCCESS,Trace 1,62,22.622947153322716
SUCCESS,Trace 1,62,22.542405089743713
SUCCESS,Trace 1,62,21.487629085002173
SUCCESS,Trace 1,9,26.72164350748062
SUCCESS,Trace 1,51,22.328537368774413
SUCCESS,Trace 1,62,23.537017974982028
SUCCESS,Trace 1,62,24.438660504496166
SUCCESS,Trace 1,26,22.671604912507156
