Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1283.2349634170532
SUCCESS,Trace 1,62,1303.2582926750183
SUCCESS,Trace 1,62,1243.225246667862
SUCCESS,Trace 1,62,1215.339858531952
SUCCESS,Trace 1,62,1283.2582926750183
SUCCESS,Trace 1,62,1283.1522500514984
SUCCESS,Trace 1,62,1228.1769800186157
SUCCESS,Trace 1,62,1243.2349133491516
SUCCESS,Trace 1,62,1293.2099771499634
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1223.241869211197
SUCCESS,Trace 1,62,1338.2010102272034
SUCCESS,Trace 1,62,1243.2349562644958
SUCCESS,Trace 1,62,1333.1958770751953
SUCCESS,Trace 1,62,1233.1858503818512
SUCCESS,Trace 1,62,1257.8141570091248
SUCCESS,Trace 1,62,1263.2015204429626
SUCCESS,Trace 1,62,1338.2285022735596
SUCCESS,Trace 1,62,1283.2582902908325
SUCCESS,Trace 1,62,1243.2574439048767
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1308.1919264793396
SUCCESS,Trace 1,62,1238.2019746303558
SUCCESS,Trace 1,62,1282.862000465393
SUCCESS,Trace 1,62,1233.2019662857056
SUCCESS,Trace 1,62,1213.258295059204
SUCCESS,Trace 1,62,1208.1917977333069
SUCCESS,Trace 1,62,1238.2014107704163
SUCCESS,Trace 1,62,1268.112472295761
SUCCESS,Trace 1,62,1253.257451057434
SUCCESS,Trace 1,62,1248.1882214546204
SUCCESS,Trace 1,62,1223.2582902908325
SUCCESS,Trace 1,62,1244.7629594802856
SUCCESS,Trace 1,62,1263.258295059204
SUCCESS,Trace 1,62,1243.2248401641846
SUCCESS,Trace 1,62,1303.2020378112793
SUCCESS,Trace 1,62,1293.258285522461
SUCCESS,Trace 1,62,1253.1015920639038
SUCCESS,Trace 1,62,1237.8857207298279
SUCCESS,Trace 1,62,1243.225314617157
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1288.1882309913635
SUCCESS,Trace 1,62,1273.0262660980225
SUCCESS,Trace 1,62,1203.224778175354
SUCCESS,Trace 1,62,1253.2581734657288
SUCCESS,Trace 1,62,1238.2099604606628
SUCCESS,Trace 1,62,1243.19082736969
FAIL,Trace 1,61,1178.3782929182053
SUCCESS,Trace 1,62,1248.0156433582306
SUCCESS,Trace 1,62,1248.1882977485657
SUCCESS,Trace 1,62,1358.2341146469116
SUCCESS,Trace 1,62,1213.196438550949
SUCCESS,Trace 1,62,1338.179384469986
SUCCESS,Trace 1,62,1258.2582926750183
SUCCESS,Trace 1,62,1343.257451057434
SUCCESS,Trace 1,62,1243.2253098487854
SUCCESS,Trace 1,62,1260.1549983024597
SUCCESS,Trace 1,62,1298.2582771778107
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1233.2582914829254
SUCCESS,Trace 1,62,1323.2582902908325
SUCCESS,Trace 1,62,1228.2253086566925
SUCCESS,Trace 1,62,1253.1962656974792
SUCCESS,Trace 1,62,1218.1917428970337
SUCCESS,Trace 1,62,1233.0766868591309
SUCCESS,Trace 1,62,1313.1880903244019
SUCCESS,Trace 1,62,1243.2019591331482
SUCCESS,Trace 1,62,1228.2349109649658
SUCCESS,Trace 1,62,1238.2253122329712
SUCCESS,Trace 1,62,1268.2339453697205
SUCCESS,Trace 1,62,1408.2509779930115
SUCCESS,Trace 1,62,1223.2284533977509
SUCCESS,Trace 1,62,1278.2349586486816
SUCCESS,Trace 1,62,1203.2253122329712
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1288.1916975975037
SUCCESS,Trace 1,62,1358.2285130023956
SUCCESS,Trace 1,62,1348.2349455356598
SUCCESS,Trace 1,62,1307.803212404251
SUCCESS,Trace 1,62,1220.3566598892212
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1233.1216967105865
SUCCESS,Trace 1,62,1348.250982761383
SUCCESS,Trace 1,62,1258.2253062725067
SUCCESS,Trace 1,62,1253.2349610328674
SUCCESS,Trace 1,62,1233.2179272174835
SUCCESS,Trace 1,62,1313.2349586486816
SUCCESS,Trace 1,62,1218.201961517334
SUCCESS,Trace 1,62,1328.2582926750183
SUCCESS,Trace 1,62,1255.4290747642517
SUCCESS,Trace 1,62,1238.2120180130005
SUCCESS,Trace 1,62,1218.208886384964
SUCCESS,Trace 1,62,1283.228496313095
SUCCESS,Trace 1,62,1233.2349610328674
SUCCESS,Trace 1,62,1253.1689548492432
SUCCESS,Trace 1,62,1283.2582879066467
SUCCESS,Trace 1,62,1218.169014453888
SUCCESS,Trace 1,62,1287.837392091751
SUCCESS,Trace 1,62,1218.258183002472
SUCCESS,Trace 1,62,1343.218389749527
SUCCESS,Trace 1,62,1218.1348145008087
SUCCESS,Trace 1,62,1223.2099604606628
SUCCESS,Trace 1,62,1248.251849412918
SUCCESS,Trace 1,62,1285.01167178154
SUCCESS,Trace 1,62,1263.2349121570587
SUCCESS,Trace 1,62,1248.2581973075867
SUCCESS,Trace 1,62,1242.7595520019531
SUCCESS,Trace 1,62,1248.2099771499634
SUCCESS,Trace 1,62,1325.3992438316345
SUCCESS,Trace 1,62,1220.3726315498352
SUCCESS,Trace 1,62,1233.1914830207825
SUCCESS,Trace 1,62,1280.3397905826569
SUCCESS,Trace 1,62,1243.2349586486816
SUCCESS,Trace 1,62,1347.8365504741669
SUCCESS,Trace 1,62,1288.1307327747345
SUCCESS,Trace 1,62,1203.224778175354
SUCCESS,Trace 1,62,1213.1875789165497
SUCCESS,Trace 1,62,1228.2019662857056
SUCCESS,Trace 1,62,1218.201961517334
SUCCESS,Trace 1,62,1228.0465304851532
SUCCESS,Trace 1,62,1223.028022646904
SUCCESS,Trace 1,62,1233.0731809139252
SUCCESS,Trace 1,62,1223.234941959381
SUCCESS,Trace 1,62,1208.1876480579376
SUCCESS,Trace 1,62,1213.1480753421783
SUCCESS,Trace 1,62,1323.2341194152832
SUCCESS,Trace 1,62,1273.2248449325562
SUCCESS,Trace 1,62,1282.8288173675537
SUCCESS,Trace 1,62,1203.224778175354
SUCCESS,Trace 1,62,1283.217625617981
SUCCESS,Trace 1,62,1223.2253122329712
SUCCESS,Trace 1,62,1253.1874930858612
SUCCESS,Trace 1,62,1248.1427347660065
SUCCESS,Trace 1,62,1279.754170179367
SUCCESS,Trace 1,62,1223.2253098487854
SUCCESS,Trace 1,62,1238.2349586486816
SUCCESS,Trace 1,62,1208.2019329071045
SUCCESS,Trace 1,62,1257.852737903595
SUCCESS,Trace 1,62,1310.4290640354156
SUCCESS,Trace 1,62,1315.3433179855347
SUCCESS,Trace 1,62,1278.2023692131042
SUCCESS,Trace 1,62,1338.2582926750183
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1378.1794202327728
SUCCESS,Trace 1,62,1218.258295059204
SUCCESS,Trace 1,62,1218.2582902908325
SUCCESS,Trace 1,62,1227.8366577625275
SUCCESS,Trace 1,62,1270.372759103775
SUCCESS,Trace 1,62,1233.2349586486816
SUCCESS,Trace 1,62,1228.2253050804138
SUCCESS,Trace 1,62,1292.8623700141907
SUCCESS,Trace 1,62,1285.4290771484375
SUCCESS,Trace 1,62,1277.6253080368042
SUCCESS,Trace 1,62,1253.1959533691406
SUCCESS,Trace 1,62,1263.2582795619965
SUCCESS,Trace 1,62,1278.1547915935516
SUCCESS,Trace 1,62,1233.258295059204
SUCCESS,Trace 1,62,1298.2574558258057
SUCCESS,Trace 1,62,1258.2582926750183
SUCCESS,Trace 1,62,1318.1391060352325
SUCCESS,Trace 1,62,1242.8857266902924
SUCCESS,Trace 1,62,1268.187495470047
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1233.1685400009155
SUCCESS,Trace 1,62,1243.201961517334
SUCCESS,Trace 1,62,1233.2349395751953
SUCCESS,Trace 1,62,1263.209216594696
SUCCESS,Trace 1,62,1228.2276010513306
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1278.2253098487854
SUCCESS,Trace 1,62,1228.1439661979675
SUCCESS,Trace 1,62,1282.8366374969482
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1313.185898065567
SUCCESS,Trace 1,62,1263.2518374919891
SUCCESS,Trace 1,62,1293.2284986972809
SUCCESS,Trace 1,62,1233.2349181175232
SUCCESS,Trace 1,62,1223.102833032608
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1302.7178847789764
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1282.9100835323334
SUCCESS,Trace 1,62,1250.4290616512299
SUCCESS,Trace 1,62,1268.2582926750183
SUCCESS,Trace 1,62,1288.1337201595306
SUCCESS,Trace 1,62,1245.4290783405304
SUCCESS,Trace 1,62,1238.2349228858948
SUCCESS,Trace 1,62,1238.1730902194977
SUCCESS,Trace 1,62,1223.201961517334
SUCCESS,Trace 1,62,1298.1648874282837
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1258.2349586486816
SUCCESS,Trace 1,62,1268.2574534416199
FAIL,Trace 1,31,598.3782905340195
SUCCESS,Trace 1,62,1273.2174110412598
SUCCESS,Trace 1,62,1308.134526014328
SUCCESS,Trace 1,62,1223.0690836906433
SUCCESS,Trace 1,62,1418.2518339157104
SUCCESS,Trace 1,62,1328.1876647472382
SUCCESS,Trace 1,62,1248.2349610328674
SUCCESS,Trace 1,62,1228.2019305229187
SUCCESS,Trace 1,62,1393.064912557602
SUCCESS,Trace 1,62,1228.2252991199493
SUCCESS,Trace 1,62,1268.2582819461823
SUCCESS,Trace 1,62,1264.9900722503662
SUCCESS,Trace 1,62,1268.191738128662
SUCCESS,Trace 1,62,1218.1891822814941
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1303.2574439048767
SUCCESS,Trace 1,62,1253.1546700000763
SUCCESS,Trace 1,62,1278.25829744339
SUCCESS,Trace 1,62,1303.1216776371002
SUCCESS,Trace 1,62,1258.2244682312012
SUCCESS,Trace 1,62,1255.4289722442627
SUCCESS,Trace 1,62,1323.2092308998108
SUCCESS,Trace 1,62,1248.234897851944
SUCCESS,Trace 1,62,1238.1737792491913
SUCCESS,Trace 1,62,1223.2098031044006
SUCCESS,Trace 1,62,1347.8623914718628
SUCCESS,Trace 1,62,1263.2248449325562
SUCCESS,Trace 1,62,1335.4290616512299
SUCCESS,Trace 1,62,1283.2582902908325
SUCCESS,Trace 1,62,1212.8857207298279
SUCCESS,Trace 1,62,1333.2509875297546
SUCCESS,Trace 1,62,1288.111424446106
SUCCESS,Trace 1,62,1248.178563117981
SUCCESS,Trace 1,62,1213.1923830509186
SUCCESS,Trace 1,62,1238.225370645523
SUCCESS,Trace 1,62,1243.2349133491516
SUCCESS,Trace 1,62,1228.234944343567
SUCCESS,Trace 1,62,1303.211134672165
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1228.13467502594
SUCCESS,Trace 1,62,1297.6522982120514
SUCCESS,Trace 1,62,1278.1850218772888
SUCCESS,Trace 1,62,1268.2349181175232
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1283.1640076637268
SUCCESS,Trace 1,62,1253.0326116085052
SUCCESS,Trace 1,62,1253.2248377799988
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1258.225314617157
SUCCESS,Trace 1,62,1228.2244646549225
SUCCESS,Trace 1,62,1278.2015085220337
SUCCESS,Trace 1,62,1273.2349455356598
SUCCESS,Trace 1,62,1278.1391775608063
SUCCESS,Trace 1,62,1213.201961517334
SUCCESS,Trace 1,62,1263.2099628448486
SUCCESS,Trace 1,62,1213.126369714737
SUCCESS,Trace 1,62,1233.1301021575928
SUCCESS,Trace 1,62,1250.362709760666
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1292.3158514499664
SUCCESS,Trace 1,62,1238.1629264354706
SUCCESS,Trace 1,62,1228.201961517334
SUCCESS,Trace 1,62,1298.2518351078033
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1323.2249093055725
SUCCESS,Trace 1,62,1237.8857278823853
SUCCESS,Trace 1,62,1258.2252383232117
SUCCESS,Trace 1,62,1238.258295059204
SUCCESS,Trace 1,62,1295.3585171699524
SUCCESS,Trace 1,62,1298.2339835166931
SUCCESS,Trace 1,62,1233.162635564804
SUCCESS,Trace 1,62,1273.2349562644958
SUCCESS,Trace 1,62,1233.258295059204
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1253.2247710227966
SUCCESS,Trace 1,62,1223.135266304016
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1228.234941959381
SUCCESS,Trace 1,62,1263.258295059204
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1290.358909368515
SUCCESS,Trace 1,62,1228.1041181087494
SUCCESS,Trace 1,62,1293.2341194152832
SUCCESS,Trace 1,62,1243.1876480579376
SUCCESS,Trace 1,62,1213.234941959381
SUCCESS,Trace 1,62,1223.0988836288452
SUCCESS,Trace 1,62,1238.1073367595673
SUCCESS,Trace 1,62,1208.224778175354
SUCCESS,Trace 1,62,1243.2349586486816
SUCCESS,Trace 1,62,1258.0979669094086
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1262.8623414039612
SUCCESS,Trace 1,62,1278.1137084960938
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1243.234806060791
SUCCESS,Trace 1,62,1238.2582902908325
SUCCESS,Trace 1,62,1248.2099795341492
SUCCESS,Trace 1,62,1258.2098507881165
SUCCESS,Trace 1,62,1223.2509660720825
SUCCESS,Trace 1,62,1248.2582926750183
SUCCESS,Trace 1,62,1248.2582926750183
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1253.2582926750183
SUCCESS,Trace 1,62,1223.139535188675
SUCCESS,Trace 1,62,1275.0331211090088
SUCCESS,Trace 1,62,1293.2247877120972
SUCCESS,Trace 1,62,1298.2349610328674
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1268.1524002552032
SUCCESS,Trace 1,62,1288.1913304328918
SUCCESS,Trace 1,62,1322.4681508541107
SUCCESS,Trace 1,62,1248.2247591018677
SUCCESS,Trace 1,62,1318.2509803771973
SUCCESS,Trace 1,62,1293.2099258899689
SUCCESS,Trace 1,62,1393.187243938446
SUCCESS,Trace 1,62,1280.0081753730774
SUCCESS,Trace 1,62,1327.8132963180542
SUCCESS,Trace 1,62,1238.234944343567
SUCCESS,Trace 1,62,1313.2006931304932
SUCCESS,Trace 1,62,1228.2099270820618
SUCCESS,Trace 1,62,1263.1234240531921
SUCCESS,Trace 1,62,1318.218253850937
SUCCESS,Trace 1,62,1248.1319093704224
SUCCESS,Trace 1,62,1233.1875813007355
SUCCESS,Trace 1,62,1313.2573342323303
SUCCESS,Trace 1,62,1325.056495666504
SUCCESS,Trace 1,62,1322.8374028205872
SUCCESS,Trace 1,62,1318.0990624427795
SUCCESS,Trace 1,62,1253.2582902908325
