Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,42.5
SUCCESS,Trace 1,62,37.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,56.5
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,58.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,38.5
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,56.5
SUCCESS,Trace 1,62,34.0
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,19.5
SUCCESS,Trace 1,62,48.5
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,34.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,51.5
SUCCESS,Trace 1,62,26.5
SUCCESS,Trace 1,62,23.5
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,2.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,53.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,51.5
SUCCESS,Trace 1,62,1.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,51.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,40.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,26.5
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,58.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.5
SUCCESS,Trace 1,62,33.5
SUCCESS,Trace 1,61,59.0
SUCCESS,Trace 1,62,52.5
SUCCESS,Trace 1,62,43.5
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.5
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,24.5
SUCCESS,Trace 1,62,39.5
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,48.5
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,45.5
