Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1251.4665454626083
SUCCESS,Trace 1,62,1348.209125995636
SUCCESS,Trace 1,62,1228.2357615232468
SUCCESS,Trace 1,62,1278.2349359989166
FAIL,Trace 1,62,1188.2349157333374
SUCCESS,Trace 1,62,1238.234944343567
SUCCESS,Trace 1,62,1303.2099533081055
SUCCESS,Trace 1,62,1255.405728816986
FAIL,Trace 1,60,1154.089407324791
SUCCESS,Trace 1,62,1308.2349610328674
SUCCESS,Trace 1,62,1297.8293454647064
FAIL,Trace 1,45,859.6582925319672
SUCCESS,Trace 1,62,1303.17751288414
SUCCESS,Trace 1,62,1233.241982460022
FAIL,Trace 1,62,1188.2582914829254
SUCCESS,Trace 1,62,1257.8301966190338
SUCCESS,Trace 1,62,1213.258295059204
FAIL,Trace 1,62,1198.2099294662476
SUCCESS,Trace 1,62,1233.234944343567
SUCCESS,Trace 1,62,1253.2099628448486
SUCCESS,Trace 1,62,1213.2591420412064
SUCCESS,Trace 1,62,1273.234941959381
SUCCESS,Trace 1,62,1253.2582902908325
SUCCESS,Trace 1,62,1228.2099342346191
SUCCESS,Trace 1,62,1308.2518327236176
SUCCESS,Trace 1,62,1255.380746126175
SUCCESS,Trace 1,62,1223.2099640369415
FAIL,Trace 1,17,358.1784349679947
SUCCESS,Trace 1,62,1243.2349967956543
FAIL,Trace 1,32,643.1762206554413
SUCCESS,Trace 1,62,1215.0235223770142
SUCCESS,Trace 1,62,1230.3807485103607
SUCCESS,Trace 1,62,1233.2582902908325
SUCCESS,Trace 1,62,1283.2581579685211
SUCCESS,Trace 1,62,1253.2099342346191
SUCCESS,Trace 1,62,1318.2099616527557
SUCCESS,Trace 1,62,1275.0565004348755
SUCCESS,Trace 1,62,1313.2017922401428
FAIL,Trace 1,39,733.2582974433899
SUCCESS,Trace 1,62,1258.2409977912903
SUCCESS,Trace 1,62,1203.2099640369415
SUCCESS,Trace 1,62,1313.2581675052643
SUCCESS,Trace 1,62,1268.234932422638
SUCCESS,Trace 1,62,1248.2092356681824
SUCCESS,Trace 1,62,1288.2582926750183
SUCCESS,Trace 1,62,1218.1697881221771
SUCCESS,Trace 1,62,1328.2027614116669
SUCCESS,Trace 1,62,1238.2098507881165
SUCCESS,Trace 1,62,1253.2099270820618
SUCCESS,Trace 1,62,1213.234941959381
SUCCESS,Trace 1,62,1278.2274723052979
