Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,46.26791596840154
SUCCESS,Trace 1,62,46.13940204084272
SUCCESS,Trace 1,62,46.020656081883104
SUCCESS,Trace 1,62,46.615892157634995
SUCCESS,Trace 1,62,45.54446324842312
SUCCESS,Trace 1,62,46.139701686827685
SUCCESS,Trace 1,62,46.88940428629544
SUCCESS,Trace 1,62,46.36995839856556
SUCCESS,Trace 1,60,43.564529953108135
SUCCESS,Trace 1,62,46.973035217153694
SUCCESS,Trace 1,62,46.853076979095725
SUCCESS,Trace 1,45,32.20902730760553
SUCCESS,Trace 1,62,45.627113266345084
SUCCESS,Trace 1,62,43.2467317783734
SUCCESS,Trace 1,62,45.544741593319785
SUCCESS,Trace 1,62,46.37688886017474
SUCCESS,Trace 1,62,45.842360640938786
SUCCESS,Trace 1,62,45.59178487395386
SUCCESS,Trace 1,62,46.08017787730387
SUCCESS,Trace 1,62,46.294166191768106
SUCCESS,Trace 1,62,45.84236299820832
SUCCESS,Trace 1,62,46.55636835313104
SUCCESS,Trace 1,62,46.31855111712906
SUCCESS,Trace 1,62,45.99654677564904
SUCCESS,Trace 1,62,46.97329512137576
SUCCESS,Trace 1,62,46.34585147493484
SUCCESS,Trace 1,62,45.93702333462518
FAIL,Trace 1,17,10.865321631121315
SUCCESS,Trace 1,62,45.55636906218718
SUCCESS,Trace 1,32,21.401098492194436
SUCCESS,Trace 1,62,44.892621053800084
SUCCESS,Trace 1,62,46.04823242730127
SUCCESS,Trace 1,62,46.080455879034034
SUCCESS,Trace 1,62,46.67569361758798
SUCCESS,Trace 1,62,46.294165826340226
SUCCESS,Trace 1,62,47.06797571519164
SUCCESS,Trace 1,62,46.60729940446773
SUCCESS,Trace 1,62,47.03268029028973
SUCCESS,Trace 1,39,27.604265402843605
SUCCESS,Trace 1,62,45.25882145956769
SUCCESS,Trace 1,62,45.65130904891053
SUCCESS,Trace 1,62,47.03283647392835
SUCCESS,Trace 1,62,46.496844497708715
SUCCESS,Trace 1,62,46.25889137556616
SUCCESS,Trace 1,62,46.73521778379594
SUCCESS,Trace 1,62,45.496576076764086
SUCCESS,Trace 1,62,47.211254427431655
SUCCESS,Trace 1,62,46.11559445277433
SUCCESS,Trace 1,62,46.29416582633477
SUCCESS,Trace 1,62,45.84208263884533
SUCCESS,Trace 1,62,46.615871210765725
SUCCESS,Trace 1,62,46.5321048746057
SUCCESS,Trace 1,62,46.23464238185828
SUCCESS,Trace 1,62,47.12749915966813
SUCCESS,Trace 1,62,45.90188449672449
FAIL,Trace 1,29,19.925694284694494
SUCCESS,Trace 1,62,46.78573459048417
SUCCESS,Trace 1,62,46.19911010644636
SUCCESS,Trace 1,62,46.55649252257641
SUCCESS,Trace 1,62,46.37807492665309
SUCCESS,Trace 1,62,45.90160610556598
SUCCESS,Trace 1,62,46.49712254570075
SUCCESS,Trace 1,62,46.67569397427218
