Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,20.844343314405346
SUCCESS,Trace 1,62,22.471444322300755
SUCCESS,Trace 1,62,20.504237538101034
SUCCESS,Trace 1,62,21.32390638257052
FAIL,Trace 1,62,19.84849666729695
SUCCESS,Trace 1,62,20.668168794907526
SUCCESS,Trace 1,62,21.73374241044147
SUCCESS,Trace 1,62,20.98524365659085
FAIL,Trace 1,60,19.87153421014042
SUCCESS,Trace 1,62,21.81570978084055
SUCCESS,Trace 1,62,21.65013876117644
FAIL,Trace 1,45,19.96723391792991
SUCCESS,Trace 1,62,21.73374249753138
SUCCESS,Trace 1,62,20.586201976502252
FAIL,Trace 1,62,19.848496581687304
SUCCESS,Trace 1,62,20.994404300314482
SUCCESS,Trace 1,62,20.25833270588859
SUCCESS,Trace 1,62,20.01243104740113
SUCCESS,Trace 1,62,20.58620158179277
SUCCESS,Trace 1,62,20.91407043563398
SUCCESS,Trace 1,62,20.25833589131715
SUCCESS,Trace 1,62,21.24193924812608
SUCCESS,Trace 1,62,20.914070332636598
SUCCESS,Trace 1,62,20.504234407506537
SUCCESS,Trace 1,62,21.81568509242574
SUCCESS,Trace 1,62,20.985243638430042
SUCCESS,Trace 1,62,20.422267176487964
SUCCESS,Trace 1,17,23.502659502841826
SUCCESS,Trace 1,62,20.750135892001403
SUCCESS,Trace 1,32,21.324109692452343
SUCCESS,Trace 1,62,20.32808442289174
SUCCESS,Trace 1,62,20.575407611941806
SUCCESS,Trace 1,62,20.586201480177582
SUCCESS,Trace 1,62,21.40587306413494
SUCCESS,Trace 1,62,20.91407046982595
SUCCESS,Trace 1,62,21.979644187114772
SUCCESS,Trace 1,62,21.311690924597567
SUCCESS,Trace 1,62,21.897461375252146
FAIL,Trace 1,39,19.88837624851026
SUCCESS,Trace 1,62,20.996037525000148
SUCCESS,Trace 1,62,20.094398324029473
SUCCESS,Trace 1,62,21.897676499163516
SUCCESS,Trace 1,62,21.159972093138556
SUCCESS,Trace 1,62,20.83191607819229
SUCCESS,Trace 1,62,21.48784086352489
SUCCESS,Trace 1,62,20.34008805573426
SUCCESS,Trace 1,62,22.1433666104176
SUCCESS,Trace 1,62,20.668168366354575
SUCCESS,Trace 1,62,20.91407035257841
SUCCESS,Trace 1,62,20.258332690749032
SUCCESS,Trace 1,62,21.323878049473084
SUCCESS,Trace 1,62,21.241724081126055
SUCCESS,Trace 1,62,20.832103164423202
SUCCESS,Trace 1,62,22.06161137526998
SUCCESS,Trace 1,62,20.34030001671588
FAIL,Trace 1,29,19.66994000332696
SUCCESS,Trace 1,62,21.5574049949646
SUCCESS,Trace 1,62,21.24193919854146
SUCCESS,Trace 1,62,21.24172742249536
SUCCESS,Trace 1,62,20.996037623921378
SUCCESS,Trace 1,62,20.340299945985443
SUCCESS,Trace 1,62,21.159972108778405
SUCCESS,Trace 1,62,21.405873650410136
SUCCESS,Trace 1,62,20.09439824057407
SUCCESS,Trace 1,62,21.159972020771956
SUCCESS,Trace 1,62,20.750135968937265
SUCCESS,Trace 1,62,20.575407450316384
SUCCESS,Trace 1,62,21.815706002907675
SUCCESS,Trace 1,62,20.340327786617593
SUCCESS,Trace 1,62,20.914070394884174
SUCCESS,Trace 1,62,22.14357852935791
SUCCESS,Trace 1,62,21.968666197823698
SUCCESS,Trace 1,45,20.34081380475651
SUCCESS,Trace 1,62,21.159972092741725
SUCCESS,Trace 1,62,22.061611316243155
SUCCESS,Trace 1,62,21.241752031796395
SUCCESS,Trace 1,62,20.09439824057407
SUCCESS,Trace 1,58,20.96514306988007
SUCCESS,Trace 1,62,20.985053176279948
SUCCESS,Trace 1,62,21.487844224836007
SUCCESS,Trace 1,62,20.750135968937265
SUCCESS,Trace 1,62,20.99603436235276
SUCCESS,Trace 1,62,21.078004758866108
SUCCESS,Trace 1,62,20.422267195146706
SUCCESS,Trace 1,62,21.311690948043225
SUCCESS,Trace 1,62,21.416452269451487
SUCCESS,Trace 1,62,21.323719187207093
SUCCESS,Trace 1,62,20.832103178149364
SUCCESS,Trace 1,62,23.04500231977369
SUCCESS,Trace 1,62,22.22554522105411
SUCCESS,Trace 1,62,20.996037428496315
SUCCESS,Trace 1,62,20.50404723154764
SUCCESS,Trace 1,62,20.258332744973604
SUCCESS,Trace 1,62,21.733742385614114
SUCCESS,Trace 1,62,23.29093247553757
SUCCESS,Trace 1,62,20.4222670809302
SUCCESS,Trace 1,62,20.340299879918334
SUCCESS,Trace 1,62,20.422267053948072
SUCCESS,Trace 1,62,21.241939224180626
SUCCESS,Trace 1,62,20.99582574406608
SUCCESS,Trace 1,8,20.508336063911106
SUCCESS,Trace 1,62,20.586201480177582
SUCCESS,Trace 1,62,21.47701837977425
SUCCESS,Trace 1,62,20.422267098904047
SUCCESS,Trace 1,62,21.96724159400239
SUCCESS,Trace 1,62,20.50423430614784
SUCCESS,Trace 1,62,21.47541030508573
SUCCESS,Trace 1,62,20.586229856406966
SUCCESS,Trace 1,62,21.56980806452971
SUCCESS,Trace 1,62,20.504234270965483
SUCCESS,Trace 1,62,20.83210314488069
SUCCESS,Trace 1,62,21.078004352876416
SUCCESS,Trace 1,62,20.66816873237735
SUCCESS,Trace 1,62,20.42226711786097
SUCCESS,Trace 1,62,20.58620159743262
SUCCESS,Trace 1,62,20.586201544089953
SUCCESS,Trace 1,62,21.651771563344496
SUCCESS,Trace 1,62,20.01243109048978
SUCCESS,Trace 1,62,20.176365480670952
SUCCESS,Trace 1,62,22.787100784108304
SUCCESS,Trace 1,62,20.996037545751353
SUCCESS,Trace 1,62,20.34029995808836
SUCCESS,Trace 1,62,21.733742526314316
SUCCESS,Trace 1,62,20.81970063157355
SUCCESS,Trace 1,62,20.667953642031588
SUCCESS,Trace 1,62,20.678959557267486
SUCCESS,Trace 1,62,21.651958728254172
SUCCESS,Trace 1,62,20.598416998160246
SUCCESS,Trace 1,62,20.013852998858592
FAIL,Trace 1,62,19.848496601229808
SUCCESS,Trace 1,62,21.32390643729538
SUCCESS,Trace 1,62,21.48783721436103
SUCCESS,Trace 1,62,21.48784084437419
SUCCESS,Trace 1,38,20.972926880852626
SUCCESS,Trace 1,62,21.078001147405065
SUCCESS,Trace 1,62,20.504234309829663
SUCCESS,Trace 1,62,20.34029998203195
SUCCESS,Trace 1,28,21.666528904072226
SUCCESS,Trace 1,62,20.094398284944464
SUCCESS,Trace 1,62,20.750135970665674
SUCCESS,Trace 1,62,20.42226707877543
SUCCESS,Trace 1,62,21.40587367385502
SUCCESS,Trace 1,62,21.73371786316429
SUCCESS,Trace 1,62,20.25833266680358
SUCCESS,Trace 1,62,21.651775289754397
SUCCESS,Trace 1,62,20.66816871322665
SUCCESS,Trace 1,62,20.57379884769468
SUCCESS,Trace 1,62,20.91407037172161
SUCCESS,Trace 1,62,20.995850431882836
SUCCESS,Trace 1,62,21.885461478931024
SUCCESS,Trace 1,62,21.078004842321505
SUCCESS,Trace 1,62,21.231142087460203
SUCCESS,Trace 1,62,20.422267142642877
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,14,24.692308116512088
