Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,62,1198.1685936450958
SUCCESS,Trace 1,62,1308.2582712173462
SUCCESS,Trace 1,62,1288.2009983062744
SUCCESS,Trace 1,62,1273.2349562644958
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1213.2018065452576
SUCCESS,Trace 1,62,1218.1882953643799
SUCCESS,Trace 1,62,1233.2248449325562
SUCCESS,Trace 1,62,1213.307357430458
SUCCESS,Trace 1,62,1268.2066023349762
SUCCESS,Trace 1,62,1278.2099771499634
SUCCESS,Trace 1,62,1263.234941959381
SUCCESS,Trace 1,62,1255.3590822219849
SUCCESS,Trace 1,62,1278.234943151474
SUCCESS,Trace 1,62,1228.2012271881104
SUCCESS,Trace 1,62,1252.8623676300049
SUCCESS,Trace 1,62,1288.258285522461
SUCCESS,Trace 1,62,1243.2013034820557
SUCCESS,Trace 1,62,1218.258295059204
FAIL,Trace 1,62,1198.201425075531
SUCCESS,Trace 1,62,1268.234944343567
SUCCESS,Trace 1,62,1268.2582771778107
SUCCESS,Trace 1,62,1239.9777173995972
SUCCESS,Trace 1,62,1215.395622253418
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1218.2582938671112
SUCCESS,Trace 1,62,1218.1876480579376
SUCCESS,Trace 1,62,1233.2647627592087
SUCCESS,Trace 1,62,1283.2099795341492
SUCCESS,Trace 1,62,1218.209229707718
FAIL,Trace 1,62,1163.2582926750183
SUCCESS,Trace 1,62,1383.209947347641
SUCCESS,Trace 1,62,1233.2014203071594
SUCCESS,Trace 1,62,1313.2027685642242
SUCCESS,Trace 1,62,1275.3536355495453
SUCCESS,Trace 1,62,1248.2284843921661
SUCCESS,Trace 1,62,1218.25829744339
SUCCESS,Trace 1,62,1213.224776983261
SUCCESS,Trace 1,62,1300.3629577159882
SUCCESS,Trace 1,62,1318.2582926750183
SUCCESS,Trace 1,62,1253.2348012924194
SUCCESS,Trace 1,62,1243.258295059204
SUCCESS,Trace 1,62,1223.2518351078033
FAIL,Trace 1,62,1198.2011151313782
SUCCESS,Trace 1,62,1239.9057877063751
SUCCESS,Trace 1,62,1273.25829744339
SUCCESS,Trace 1,62,1295.0563740730286
SUCCESS,Trace 1,62,1228.1918001174927
SUCCESS,Trace 1,62,1248.258295059204
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1228.258295059204
SUCCESS,Trace 1,62,1290.4056918621063
FAIL,Trace 1,62,1188.2502907514572
SUCCESS,Trace 1,62,1333.2276511192322
SUCCESS,Trace 1,62,1293.2184517383575
SUCCESS,Trace 1,62,1313.2518303394318
SUCCESS,Trace 1,62,1298.2099771499634
FAIL,Trace 1,62,1183.6308652162552
SUCCESS,Trace 1,62,1277.7666592597961
SUCCESS,Trace 1,62,1338.2349574565887
