Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1233.2253122329712
SUCCESS,Trace 1,62,1258.6872267723083
SUCCESS,Trace 1,62,1273.2349133491516
SUCCESS,Trace 1,62,1248.1835424900055
SUCCESS,Trace 1,62,1208.2014667987823
FAIL,Trace 1,62,1196.0310190916061
SUCCESS,Trace 1,62,1283.2581543922424
FAIL,Trace 1,62,1185.4855501651764
SUCCESS,Trace 1,62,1320.4290699958801
SUCCESS,Trace 1,62,1283.185863494873
SUCCESS,Trace 1,62,1313.2518374919891
SUCCESS,Trace 1,62,1221.4043056964874
FAIL,Trace 1,62,1173.2349359989166
SUCCESS,Trace 1,62,1213.2099545001984
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1283.2573318481445
SUCCESS,Trace 1,62,1233.2027685642242
SUCCESS,Trace 1,62,1303.2339549064636
FAIL,Trace 1,62,1188.2582926750183
SUCCESS,Trace 1,62,1273.2243204116821
SUCCESS,Trace 1,62,1330.4290676116943
SUCCESS,Trace 1,62,1263.2099270820618
SUCCESS,Trace 1,62,1260.0081086158752
FAIL,Trace 1,62,1190.4855608940125
FAIL,Trace 1,62,1191.4293032884598
SUCCESS,Trace 1,62,1216.4856678247452
SUCCESS,Trace 1,62,1243.2582879066467
SUCCESS,Trace 1,62,1209.9600541591644
SUCCESS,Trace 1,62,1248.188967704773
SUCCESS,Trace 1,62,1238.2349395751953
SUCCESS,Trace 1,62,1303.2508528232574
SUCCESS,Trace 1,62,1201.5154737234116
SUCCESS,Trace 1,62,1211.0310167074203
SUCCESS,Trace 1,62,1210.0639379024506
SUCCESS,Trace 1,62,1223.2340931892395
SUCCESS,Trace 1,62,1200.429117679596
SUCCESS,Trace 1,62,1220.0011026859283
SUCCESS,Trace 1,62,1242.7963757514954
FAIL,Trace 1,62,1189.635843038559
SUCCESS,Trace 1,62,1223.20995926857
SUCCESS,Trace 1,62,1233.2276284694672
SUCCESS,Trace 1,62,1308.1917369365692
SUCCESS,Trace 1,62,1209.976645708084
SUCCESS,Trace 1,62,1293.2349395751953
SUCCESS,Trace 1,62,1228.258273601532
FAIL,Trace 1,62,1173.2582914829254
SUCCESS,Trace 1,62,1227.8293454647064
SUCCESS,Trace 1,62,1333.2349514961243
SUCCESS,Trace 1,62,1243.2252478599548
SUCCESS,Trace 1,62,1200.4854261875153
SUCCESS,Trace 1,62,1278.143846988678
SUCCESS,Trace 1,62,1223.258295059204
FAIL,Trace 1,62,1198.2349395751953
FAIL,Trace 1,62,1188.2582926750183
SUCCESS,Trace 1,62,1203.2247757911682
SUCCESS,Trace 1,62,1212.7504420280457
SUCCESS,Trace 1,62,1288.2349371910095
SUCCESS,Trace 1,62,1248.234941959381
SUCCESS,Trace 1,62,1301.4598041772842
FAIL,Trace 1,62,1155.4520452022552
FAIL,Trace 1,62,1183.2592660188675
FAIL,Trace 1,62,1158.6538231372833
SUCCESS,Trace 1,62,1291.4857912063599
SUCCESS,Trace 1,62,1225.3993844985962
FAIL,Trace 1,62,1171.5081602334976
FAIL,Trace 1,62,1178.2014167308807
SUCCESS,Trace 1,62,1238.2582902908325
FAIL,Trace 1,62,1180.4855704307556
SUCCESS,Trace 1,62,1337.8293442726135
SUCCESS,Trace 1,62,1206.4284563064575
SUCCESS,Trace 1,62,1308.209958076477
SUCCESS,Trace 1,62,1248.2344698905945
SUCCESS,Trace 1,62,1205.372577905655
SUCCESS,Trace 1,62,1209.9600863456726
FAIL,Trace 1,62,1183.224779367447
SUCCESS,Trace 1,62,1249.9436390399933
SUCCESS,Trace 1,62,1226.4526396989822
SUCCESS,Trace 1,62,1224.9840867519379
SUCCESS,Trace 1,62,1268.2582938671112
SUCCESS,Trace 1,62,1291.4848297834396
SUCCESS,Trace 1,62,1243.1881082057953
SUCCESS,Trace 1,62,1258.2349526882172
SUCCESS,Trace 1,62,1252.8059661388397
FAIL,Trace 1,62,1198.2251298427582
SUCCESS,Trace 1,62,1261.087509393692
SUCCESS,Trace 1,62,1218.2353138923645
SUCCESS,Trace 1,62,1226.5091443061829
SUCCESS,Trace 1,62,1288.2349073886871
SUCCESS,Trace 1,62,1300.0564992427826
SUCCESS,Trace 1,62,1284.9744606018066
SUCCESS,Trace 1,62,1223.2574462890625
SUCCESS,Trace 1,62,1243.23499917984
SUCCESS,Trace 1,62,1212.7840781211853
SUCCESS,Trace 1,62,1268.2349348068237
SUCCESS,Trace 1,62,1280.0154793262482
SUCCESS,Trace 1,62,1234.9754321575165
SUCCESS,Trace 1,62,1236.031009554863
SUCCESS,Trace 1,62,1288.2284569740295
SUCCESS,Trace 1,62,1242.2347152233124
SUCCESS,Trace 1,62,1288.0957245826721
FAIL,Trace 1,62,1152.8293538093567
SUCCESS,Trace 1,62,1308.234909772873
SUCCESS,Trace 1,62,1328.2582938671112
SUCCESS,Trace 1,62,1223.2333552837372
SUCCESS,Trace 1,62,1334.9517595767975
SUCCESS,Trace 1,62,1301.0237020254135
SUCCESS,Trace 1,62,1268.2582926750183
FAIL,Trace 1,62,1184.5794641971588
SUCCESS,Trace 1,62,1302.7812588214874
SUCCESS,Trace 1,62,1220.022988319397
SUCCESS,Trace 1,62,1263.234807252884
SUCCESS,Trace 1,62,1220.015618801117
SUCCESS,Trace 1,62,1228.2582890987396
SUCCESS,Trace 1,62,1237.8036749362946
SUCCESS,Trace 1,62,1297.7737092971802
SUCCESS,Trace 1,62,1268.209229707718
SUCCESS,Trace 1,62,1228.2582926750183
SUCCESS,Trace 1,62,1313.2284808158875
SUCCESS,Trace 1,62,1317.774567604065
SUCCESS,Trace 1,62,1208.6527299880981
SUCCESS,Trace 1,62,1207.2011590003967
SUCCESS,Trace 1,62,1275.0331509113312
SUCCESS,Trace 1,62,1228.225371837616
SUCCESS,Trace 1,62,1241.5154737234116
SUCCESS,Trace 1,62,1210.0235223770142
SUCCESS,Trace 1,62,1348.2339644432068
SUCCESS,Trace 1,62,1253.2574462890625
SUCCESS,Trace 1,62,1238.258183002472
SUCCESS,Trace 1,62,1236.0310035943985
SUCCESS,Trace 1,62,1353.2573115825653
SUCCESS,Trace 1,62,1223.2582890987396
SUCCESS,Trace 1,62,1228.2014095783234
SUCCESS,Trace 1,62,1333.179417848587
SUCCESS,Trace 1,62,1223.2099795341492
SUCCESS,Trace 1,62,1231.3954311609268
SUCCESS,Trace 1,62,1221.4861488342285
SUCCESS,Trace 1,62,1238.2349526882172
SUCCESS,Trace 1,62,1223.1832790374756
SUCCESS,Trace 1,62,1313.2582890987396
SUCCESS,Trace 1,62,1288.2339596748352
SUCCESS,Trace 1,62,1333.1857824325562
FAIL,Trace 1,62,1178.224663734436
SUCCESS,Trace 1,62,1230.063943862915
SUCCESS,Trace 1,62,1203.234941959381
SUCCESS,Trace 1,62,1217.7812576293945
FAIL,Trace 1,62,1193.2349240779877
SUCCESS,Trace 1,62,1218.2349383831024
SUCCESS,Trace 1,62,1302.8293454647064
SUCCESS,Trace 1,62,1293.138518333435
FAIL,Trace 1,62,1199.5794606208801
SUCCESS,Trace 1,62,1248.2099318504333
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1228.2582902908325
SUCCESS,Trace 1,62,1290.2656137943268
SUCCESS,Trace 1,62,1293.2349407672882
SUCCESS,Trace 1,62,1262.1863305568695
SUCCESS,Trace 1,62,1233.2582914829254
FAIL,Trace 1,62,1188.2326811552048
SUCCESS,Trace 1,62,1238.2581806182861
SUCCESS,Trace 1,62,1218.2582914829254
FAIL,Trace 1,62,1171.474643945694
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1211.001334786415
SUCCESS,Trace 1,62,1413.1608867645264
SUCCESS,Trace 1,62,1218.2252490520477
SUCCESS,Trace 1,62,1216.508155465126
SUCCESS,Trace 1,62,1228.206890821457
SUCCESS,Trace 1,62,1223.2349133491516
SUCCESS,Trace 1,62,1253.2582926750183
SUCCESS,Trace 1,62,1223.2349383831024
SUCCESS,Trace 1,62,1231.4851874113083
SUCCESS,Trace 1,62,1298.2348120212555
SUCCESS,Trace 1,62,1200.0639343261719
SUCCESS,Trace 1,62,1218.1873226165771
FAIL,Trace 1,62,1181.4846754074097
SUCCESS,Trace 1,62,1228.25829744339
FAIL,Trace 1,62,1191.4600777626038
SUCCESS,Trace 1,62,1218.2349133491516
SUCCESS,Trace 1,62,1304.8793840408325
SUCCESS,Trace 1,62,1265.40487408638
SUCCESS,Trace 1,62,1330.0074446201324
SUCCESS,Trace 1,62,1273.2508528232574
SUCCESS,Trace 1,62,1248.2573080062866
SUCCESS,Trace 1,62,1258.1447863578796
SUCCESS,Trace 1,62,1243.258296251297
SUCCESS,Trace 1,62,1353.2348144054413
FAIL,Trace 1,62,1158.6872231960297
SUCCESS,Trace 1,62,1249.9526488780975
SUCCESS,Trace 1,62,1213.2099545001984
SUCCESS,Trace 1,62,1265.9974926710129
SUCCESS,Trace 1,62,1275.356627702713
FAIL,Trace 1,62,1191.0310167074203
SUCCESS,Trace 1,62,1288.2582890987396
SUCCESS,Trace 1,62,1273.2582867145538
FAIL,Trace 1,62,1193.2592624425888
FAIL,Trace 1,62,1169.9932205677032
SUCCESS,Trace 1,62,1238.154125213623
SUCCESS,Trace 1,62,1208.2253122329712
