Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,44.937206099794984
SUCCESS,Trace 1,62,43.52212044548351
SUCCESS,Trace 1,62,46.556368010327894
SUCCESS,Trace 1,62,46.0914707881331
SUCCESS,Trace 1,62,45.09168415624789
SUCCESS,Trace 1,62,45.6119474351376
SUCCESS,Trace 1,62,43.81855075973625
SUCCESS,Trace 1,62,45.53705956101187
SUCCESS,Trace 1,62,44.28690306685548
SUCCESS,Trace 1,62,46.675279999623974
SUCCESS,Trace 1,62,47.032818930190665
SUCCESS,Trace 1,62,45.88634967063191
SUCCESS,Trace 1,62,45.36589216301816
SUCCESS,Trace 1,62,45.81797571518738
SUCCESS,Trace 1,62,45.84236064093879
SUCCESS,Trace 1,62,43.818548449425165
SUCCESS,Trace 1,62,46.08030204647927
SUCCESS,Trace 1,62,46.91350849668351
SUCCESS,Trace 1,62,45.544741593319756
SUCCESS,Trace 1,62,46.484822320731766
SUCCESS,Trace 1,62,47.26309354315133
SUCCESS,Trace 1,62,46.41321344607075
SUCCESS,Trace 1,62,45.45196137547984
SUCCESS,Trace 1,62,45.59658337053568
SUCCESS,Trace 1,62,45.5533137898604
SUCCESS,Trace 1,62,45.85108898104155
SUCCESS,Trace 1,62,46.19950349808166
SUCCESS,Trace 1,62,45.808971372472826
SUCCESS,Trace 1,62,44.99629720763291
SUCCESS,Trace 1,62,46.13970168682771
SUCCESS,Trace 1,62,46.913768603281206
SUCCESS,Trace 1,62,45.672813447823856
SUCCESS,Trace 1,62,45.79051886370903
SUCCESS,Trace 1,62,45.833510488928106
SUCCESS,Trace 1,62,45.96112790098639
SUCCESS,Trace 1,62,45.000674332597356
SUCCESS,Trace 1,62,43.095241167387144
SUCCESS,Trace 1,62,45.912208199313774
SUCCESS,Trace 1,62,45.59422919124698
SUCCESS,Trace 1,62,45.93702333462518
SUCCESS,Trace 1,62,46.080157619518886
SUCCESS,Trace 1,62,45.44871120340974
SUCCESS,Trace 1,62,45.83305533861882
SUCCESS,Trace 1,62,46.79446359158962
SUCCESS,Trace 1,62,46.02093202253949
SUCCESS,Trace 1,62,45.36617016474834
SUCCESS,Trace 1,62,44.59117221719099
SUCCESS,Trace 1,62,47.27065426478566
SUCCESS,Trace 1,62,46.03244344386118
SUCCESS,Trace 1,62,45.71563063829622
SUCCESS,Trace 1,62,46.25767269073429
SUCCESS,Trace 1,62,45.961408259986406
SUCCESS,Trace 1,62,45.66351121027391
SUCCESS,Trace 1,62,42.68759873617693
SUCCESS,Trace 1,62,45.699104527432546
SUCCESS,Trace 1,62,45.84074003973951
SUCCESS,Trace 1,62,46.73493978124963
SUCCESS,Trace 1,62,46.25874930587372
SUCCESS,Trace 1,62,46.83888409031531
SUCCESS,Trace 1,62,45.15570822074374
SUCCESS,Trace 1,62,45.48522049774968
SUCCESS,Trace 1,62,45.16457897482686
SUCCESS,Trace 1,62,46.74394647459093
SUCCESS,Trace 1,62,46.01279799759178
SUCCESS,Trace 1,62,45.31565033369824
SUCCESS,Trace 1,62,45.35358836935855
SUCCESS,Trace 1,62,46.139979688557624
SUCCESS,Trace 1,62,45.477535797747855
SUCCESS,Trace 1,62,47.329267455286214
SUCCESS,Trace 1,62,45.73188286079903
SUCCESS,Trace 1,62,46.94892809613317
SUCCESS,Trace 1,62,46.092084754953625
SUCCESS,Trace 1,62,45.77484181101068
SUCCESS,Trace 1,62,45.80897173101367
SUCCESS,Trace 1,62,45.46100928923033
SUCCESS,Trace 1,62,46.30936767296136
SUCCESS,Trace 1,62,45.97025841118106
SUCCESS,Trace 1,62,46.01164737546016
SUCCESS,Trace 1,62,43.63997968846452
SUCCESS,Trace 1,62,46.74394395754668
SUCCESS,Trace 1,62,43.984390082582124
SUCCESS,Trace 1,62,46.37779712190154
SUCCESS,Trace 1,62,46.31708434628266
SUCCESS,Trace 1,62,45.59196585424385
SUCCESS,Trace 1,62,43.5287705958673
SUCCESS,Trace 1,62,45.71113474147723
SUCCESS,Trace 1,62,45.97041495230638
SUCCESS,Trace 1,62,46.734939438899325
SUCCESS,Trace 1,62,46.90491845208678
SUCCESS,Trace 1,62,46.41629464531853
SUCCESS,Trace 1,62,43.10426304557407
SUCCESS,Trace 1,62,45.223035729215646
SUCCESS,Trace 1,62,44.91205294997834
SUCCESS,Trace 1,62,46.496844543970184
SUCCESS,Trace 1,62,46.64245870912155
SUCCESS,Trace 1,62,45.82105925637323
SUCCESS,Trace 1,62,43.23099500793911
SUCCESS,Trace 1,62,46.734921538369946
SUCCESS,Trace 1,62,46.24233862923746
SUCCESS,Trace 1,62,45.51944488346508
SUCCESS,Trace 1,62,45.12688654987578
SUCCESS,Trace 1,62,44.1158918198568
SUCCESS,Trace 1,62,47.21140825460324
SUCCESS,Trace 1,62,44.58009038864038
SUCCESS,Trace 1,62,47.29704363814008
SUCCESS,Trace 1,62,44.004784320225475
SUCCESS,Trace 1,62,46.49712254570074
SUCCESS,Trace 1,62,45.53454919190048
SUCCESS,Trace 1,62,44.05532471327154
SUCCESS,Trace 1,62,45.880709962764
SUCCESS,Trace 1,62,46.437320377762575
SUCCESS,Trace 1,62,45.92817339227756
SUCCESS,Trace 1,62,46.02093206950845
SUCCESS,Trace 1,62,45.995561728614064
SUCCESS,Trace 1,62,43.99577998517325
SUCCESS,Trace 1,62,46.496986613661235
SUCCESS,Trace 1,62,43.16378921236554
SUCCESS,Trace 1,62,47.0325409291694
SUCCESS,Trace 1,62,44.92391229734027
SUCCESS,Trace 1,62,45.75981401111502
SUCCESS,Trace 1,62,45.56336764083261
SUCCESS,Trace 1,62,46.60702140273756
SUCCESS,Trace 1,62,45.35387352518921
SUCCESS,Trace 1,62,46.14900392401435
SUCCESS,Trace 1,62,45.35690676808582
SUCCESS,Trace 1,62,47.44922278168857
SUCCESS,Trace 1,62,43.46140590262359
SUCCESS,Trace 1,62,43.28283652099272
SUCCESS,Trace 1,62,46.08813786508195
SUCCESS,Trace 1,62,47.50902459294289
SUCCESS,Trace 1,62,45.96140825998645
SUCCESS,Trace 1,62,45.94882642371797
SUCCESS,Trace 1,62,47.27050023511965
SUCCESS,Trace 1,62,45.9370235443958
SUCCESS,Trace 1,62,45.862434651745815
SUCCESS,Trace 1,62,45.43442697097125
SUCCESS,Trace 1,62,46.13970188383355
SUCCESS,Trace 1,62,45.74623079618479
SUCCESS,Trace 1,62,47.032836831414976
SUCCESS,Trace 1,62,46.73493706811209
SUCCESS,Trace 1,62,47.27051801623136
SUCCESS,Trace 1,62,45.377674638841846
SUCCESS,Trace 1,62,43.21446286988045
SUCCESS,Trace 1,62,45.72303502016068
SUCCESS,Trace 1,62,44.47199138075249
SUCCESS,Trace 1,62,45.60398736104931
SUCCESS,Trace 1,62,45.90160644873246
SUCCESS,Trace 1,62,44.05545793147667
SUCCESS,Trace 1,62,46.579478096082795
SUCCESS,Trace 1,62,45.7131206205914
SUCCESS,Trace 1,62,46.23464201445318
SUCCESS,Trace 1,62,44.53283683141501
SUCCESS,Trace 1,62,44.59236064093887
SUCCESS,Trace 1,62,46.52350146888483
SUCCESS,Trace 1,62,46.79446359077342
SUCCESS,Trace 1,62,43.64666034493094
SUCCESS,Trace 1,62,46.08045587892684
SUCCESS,Trace 1,62,45.35389262527026
SUCCESS,Trace 1,62,46.13997937813555
SUCCESS,Trace 1,62,45.90188445046263
SUCCESS,Trace 1,62,45.29144183843759
SUCCESS,Trace 1,62,45.8423606409388
SUCCESS,Trace 1,62,45.790223312766244
SUCCESS,Trace 1,62,46.86545881022052
SUCCESS,Trace 1,62,45.71101487414141
SUCCESS,Trace 1,62,45.8513646194125
SUCCESS,Trace 1,62,43.73460593249426
SUCCESS,Trace 1,62,45.9611299150898
SUCCESS,Trace 1,62,46.318551117129324
SUCCESS,Trace 1,62,45.961130258148685
SUCCESS,Trace 1,62,45.45823394568182
SUCCESS,Trace 1,62,46.85398704372034
SUCCESS,Trace 1,62,45.714462869880435
SUCCESS,Trace 1,62,44.972469363529584
SUCCESS,Trace 1,62,45.434419599349134
SUCCESS,Trace 1,62,46.02093206951023
