Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1278.258295059204
SUCCESS,Trace 1,62,1233.2099747657776
SUCCESS,Trace 1,62,1243.258295059204
SUCCESS,Trace 1,62,1323.2349586486816
SUCCESS,Trace 1,62,1253.2349610328674
SUCCESS,Trace 1,62,1223.2349288463593
SUCCESS,Trace 1,62,1288.1069993972778
SUCCESS,Trace 1,62,1333.1898617744446
SUCCESS,Trace 1,62,1267.6617646217346
FAIL,Trace 1,24,484.65829491615295
SUCCESS,Trace 1,62,1373.2582926750183
FAIL,Trace 1,32,683.2353472709656
SUCCESS,Trace 1,62,1328.0610191822052
SUCCESS,Trace 1,62,1332.940458059311
SUCCESS,Trace 1,62,1248.1182551383972
SUCCESS,Trace 1,62,1273.2016599178314
FAIL,Trace 1,41,856.2582951784134
SUCCESS,Trace 1,62,1298.1859743595123
SUCCESS,Trace 1,62,1258.225314617157
SUCCESS,Trace 1,62,1348.196438550949
SUCCESS,Trace 1,62,1303.2573127746582
SUCCESS,Trace 1,62,1248.2349562644958
SUCCESS,Trace 1,62,1258.258295059204
SUCCESS,Trace 1,62,1233.1923830509186
SUCCESS,Trace 1,62,1288.170564174652
SUCCESS,Trace 1,62,1268.2099556922913
SUCCESS,Trace 1,62,1363.24063539505
SUCCESS,Trace 1,62,1378.2099747657776
SUCCESS,Trace 1,62,1253.2582926750183
SUCCESS,Trace 1,62,1258.20081949234
SUCCESS,Trace 1,62,1298.2349586486816
SUCCESS,Trace 1,62,1319.6018695831299
FAIL,Trace 1,38,848.378295302391
SUCCESS,Trace 1,62,1238.1440043449402
SUCCESS,Trace 1,62,1293.112678527832
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1348.1923174858093
SUCCESS,Trace 1,62,1287.6909267902374
SUCCESS,Trace 1,62,1309.553632736206
SUCCESS,Trace 1,62,1278.2013964653015
SUCCESS,Trace 1,62,1303.2349610328674
SUCCESS,Trace 1,62,1253.1917262077332
SUCCESS,Trace 1,62,1258.174397945404
SUCCESS,Trace 1,62,1328.1357276439667
SUCCESS,Trace 1,62,1313.2349586486816
SUCCESS,Trace 1,62,1298.258295059204
SUCCESS,Trace 1,62,1308.1326711177826
SUCCESS,Trace 1,62,1218.2019174098969
SUCCESS,Trace 1,62,1263.2247138023376
SUCCESS,Trace 1,62,1278.1882953643799
SUCCESS,Trace 1,62,1258.2019782066345
SUCCESS,Trace 1,62,1349.5789992809296
FAIL,Trace 1,18,362.35429495573044
SUCCESS,Trace 1,62,1348.1828498840332
SUCCESS,Trace 1,62,1383.0667769908905
SUCCESS,Trace 1,62,1363.2349562644958
SUCCESS,Trace 1,62,1298.1746745109558
SUCCESS,Trace 1,62,1247.7772152423859
SUCCESS,Trace 1,62,1243.1810414791107
SUCCESS,Trace 1,62,1233.1435918807983
SUCCESS,Trace 1,62,1223.2018518447876
SUCCESS,Trace 1,62,1285.3807544708252
SUCCESS,Trace 1,62,1218.225314617157
SUCCESS,Trace 1,62,1248.2099771499634
SUCCESS,Trace 1,62,1235.4290771484375
SUCCESS,Trace 1,62,1268.2571995258331
SUCCESS,Trace 1,62,1288.127977848053
SUCCESS,Trace 1,62,1373.1959104537964
SUCCESS,Trace 1,62,1308.1181752681732
SUCCESS,Trace 1,62,1323.2019126415253
SUCCESS,Trace 1,62,1303.1537127494812
SUCCESS,Trace 1,62,1338.2582902908325
SUCCESS,Trace 1,62,1378.2349610328674
SUCCESS,Trace 1,62,1303.1051933765411
SUCCESS,Trace 1,62,1333.2582902908325
SUCCESS,Trace 1,62,1303.2349610328674
FAIL,Trace 1,17,324.609979391098
SUCCESS,Trace 1,62,1233.234941959381
SUCCESS,Trace 1,62,1283.131867647171
SUCCESS,Trace 1,62,1248.258295059204
SUCCESS,Trace 1,62,1280.0074422359467
SUCCESS,Trace 1,62,1289.8979306221008
SUCCESS,Trace 1,62,1267.7399545907974
SUCCESS,Trace 1,62,1243.1769943237305
SUCCESS,Trace 1,62,1284.951183795929
SUCCESS,Trace 1,62,1323.2025575637817
SUCCESS,Trace 1,62,1253.2349610328674
SUCCESS,Trace 1,62,1253.1261992454529
SUCCESS,Trace 1,62,1218.201961517334
SUCCESS,Trace 1,62,1243.132450580597
SUCCESS,Trace 1,62,1258.2019782066345
SUCCESS,Trace 1,62,1323.1882882118225
FAIL,Trace 1,26,592.3542949557304
SUCCESS,Trace 1,62,1228.2253122329712
SUCCESS,Trace 1,62,1243.1876587867737
SUCCESS,Trace 1,62,1253.2582902908325
FAIL,Trace 1,30,564.6349132061005
SUCCESS,Trace 1,62,1333.2349467277527
SUCCESS,Trace 1,62,1238.0248093605042
SUCCESS,Trace 1,62,1258.159351348877
SUCCESS,Trace 1,62,1243.1882846355438
SUCCESS,Trace 1,62,1288.1281328201294
SUCCESS,Trace 1,62,1233.1762492656708
SUCCESS,Trace 1,62,1218.258295059204
SUCCESS,Trace 1,62,1288.1749904155731
SUCCESS,Trace 1,62,1218.258295059204
SUCCESS,Trace 1,62,1263.209958076477
SUCCESS,Trace 1,62,1328.225222826004
SUCCESS,Trace 1,62,1428.2582926750183
SUCCESS,Trace 1,62,1243.2582926750183
SUCCESS,Trace 1,62,1258.258295059204
SUCCESS,Trace 1,62,1263.174992799759
SUCCESS,Trace 1,62,1301.7392480373383
SUCCESS,Trace 1,62,1258.225314617157
SUCCESS,Trace 1,62,1223.2582902908325
SUCCESS,Trace 1,62,1263.2582926750183
SUCCESS,Trace 1,62,1277.8191590309143
SUCCESS,Trace 1,62,1294.9870109558105
SUCCESS,Trace 1,62,1268.1918001174927
SUCCESS,Trace 1,62,1263.2252311706543
SUCCESS,Trace 1,62,1208.2253122329712
SUCCESS,Trace 1,62,1268.2349407672882
SUCCESS,Trace 1,62,1243.2582902908325
SUCCESS,Trace 1,62,1393.1106865406036
FAIL,Trace 1,45,902.336959540844
SUCCESS,Trace 1,62,1253.184564113617
SUCCESS,Trace 1,62,1288.2099545001984
SUCCESS,Trace 1,62,1258.1345844268799
SUCCESS,Trace 1,62,1297.9976868629456
SUCCESS,Trace 1,62,1268.2076597213745
SUCCESS,Trace 1,62,1263.1670093536377
SUCCESS,Trace 1,62,1333.1883001327515
SUCCESS,Trace 1,62,1243.196438550949
SUCCESS,Trace 1,62,1323.2582926750183
SUCCESS,Trace 1,62,1238.2349562644958
SUCCESS,Trace 1,62,1223.234941959381
SUCCESS,Trace 1,62,1243.1701588630676
SUCCESS,Trace 1,62,1248.1045377254486
SUCCESS,Trace 1,62,1233.2582926750183
SUCCESS,Trace 1,62,1373.160901069641
SUCCESS,Trace 1,62,1278.192331790924
SUCCESS,Trace 1,62,1268.2582926750183
SUCCESS,Trace 1,62,1278.1706285476685
SUCCESS,Trace 1,62,1443.1917786598206
SUCCESS,Trace 1,62,1338.2582998275757
SUCCESS,Trace 1,62,1278.258295059204
SUCCESS,Trace 1,62,1248.2582902908325
SUCCESS,Trace 1,62,1238.2349562644958
SUCCESS,Trace 1,62,1233.2518327236176
SUCCESS,Trace 1,62,1283.072029352188
SUCCESS,Trace 1,62,1283.200762271881
SUCCESS,Trace 1,62,1288.2094550132751
SUCCESS,Trace 1,62,1238.2582926750183
FAIL,Trace 1,29,574.6099603176117
SUCCESS,Trace 1,62,1293.2253062725067
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1228.1769669055939
SUCCESS,Trace 1,62,1353.1784737110138
FAIL,Trace 1,13,278.25814962387085
SUCCESS,Trace 1,62,1348.1690573692322
SUCCESS,Trace 1,62,1223.1918025016785
FAIL,Trace 1,11,187.35429376363754
SUCCESS,Trace 1,62,1240.428227186203
SUCCESS,Trace 1,62,1218.2099604606628
SUCCESS,Trace 1,62,1253.2099294662476
FAIL,Trace 1,34,721.2253111600876
SUCCESS,Trace 1,62,1233.1144189834595
SUCCESS,Trace 1,62,1248.0800259113312
SUCCESS,Trace 1,62,1268.1698346138
SUCCESS,Trace 1,62,1318.258295059204
SUCCESS,Trace 1,62,1218.201961517334
SUCCESS,Trace 1,62,1273.2098305225372
SUCCESS,Trace 1,62,1258.2582879066467
SUCCESS,Trace 1,62,1333.1830883026123
SUCCESS,Trace 1,62,1263.2349348068237
SUCCESS,Trace 1,62,1243.2582902908325
SUCCESS,Trace 1,62,1253.2253110408783
SUCCESS,Trace 1,62,1293.2099628448486
SUCCESS,Trace 1,62,1393.0657279491425
FAIL,Trace 1,13,273.3782309293747
SUCCESS,Trace 1,62,1313.0885910987854
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1288.17063331604
FAIL,Trace 1,16,296.20996057987213
SUCCESS,Trace 1,62,1268.1705677509308
SUCCESS,Trace 1,62,1368.1452810764313
SUCCESS,Trace 1,62,1223.2099604606628
SUCCESS,Trace 1,62,1345.3205490112305
SUCCESS,Trace 1,62,1313.0827867984772
FAIL,Trace 1,26,523.3299773931503
SUCCESS,Trace 1,62,1268.189947605133
SUCCESS,Trace 1,62,1253.209867477417
SUCCESS,Trace 1,62,1248.2019484043121
SUCCESS,Trace 1,62,1242.702683210373
SUCCESS,Trace 1,62,1327.749228477478
SUCCESS,Trace 1,62,1243.2349586486816
SUCCESS,Trace 1,62,1253.1708908081055
SUCCESS,Trace 1,62,1248.2099771499634
SUCCESS,Trace 1,62,1243.1882214546204
SUCCESS,Trace 1,62,1253.187667131424
SUCCESS,Trace 1,62,1258.1690227985382
FAIL,Trace 1,6,107.42064476013184
SUCCESS,Trace 1,62,1335.3727626800537
FAIL,Trace 1,15,286.2582927942276
SUCCESS,Trace 1,62,1303.1649601459503
SUCCESS,Trace 1,62,1338.1904411315918
SUCCESS,Trace 1,62,1255.0331687927246
SUCCESS,Trace 1,62,1468.151615858078
SUCCESS,Trace 1,62,1354.8245072364807
SUCCESS,Trace 1,62,1333.2349562644958
FAIL,Trace 1,14,284.63494658470154
SUCCESS,Trace 1,62,1228.2253122329712
SUCCESS,Trace 1,62,1248.258295059204
SUCCESS,Trace 1,62,1243.2349395751953
SUCCESS,Trace 1,62,1338.0819082260132
SUCCESS,Trace 1,62,1293.188292980194
SUCCESS,Trace 1,62,1263.209958076477
SUCCESS,Trace 1,62,1218.2099604606628
SUCCESS,Trace 1,62,1268.2015252113342
FAIL,Trace 1,25,474.65829253196716
SUCCESS,Trace 1,62,1243.2019758224487
SUCCESS,Trace 1,62,1308.1594610214233
SUCCESS,Trace 1,62,1358.2223463058472
SUCCESS,Trace 1,62,1293.1539845466614
SUCCESS,Trace 1,62,1333.2183253765106
SUCCESS,Trace 1,62,1393.2018053531647
SUCCESS,Trace 1,62,1258.1460785865784
SUCCESS,Trace 1,62,1348.2076048851013
SUCCESS,Trace 1,62,1223.234941959381
SUCCESS,Trace 1,62,1243.1770586967468
SUCCESS,Trace 1,62,1348.1575179100037
SUCCESS,Trace 1,62,1270.0009739398956
SUCCESS,Trace 1,62,1343.2582914829254
SUCCESS,Trace 1,62,1343.1678938865662
SUCCESS,Trace 1,62,1263.2176303863525
SUCCESS,Trace 1,62,1402.8374111652374
SUCCESS,Trace 1,62,1265.349886417389
SUCCESS,Trace 1,62,1248.225314617157
SUCCESS,Trace 1,62,1298.1432712078094
SUCCESS,Trace 1,62,1443.2011675834656
SUCCESS,Trace 1,62,1287.8288459777832
SUCCESS,Trace 1,62,1278.2099795341492
SUCCESS,Trace 1,62,1244.9840581417084
SUCCESS,Trace 1,62,1308.187656402588
FAIL,Trace 1,15,288.2582926750183
SUCCESS,Trace 1,62,1278.0989956855774
SUCCESS,Trace 1,62,1243.2582902908325
SUCCESS,Trace 1,62,1263.2349634170532
SUCCESS,Trace 1,62,1303.23495388031
SUCCESS,Trace 1,62,1314.568282365799
SUCCESS,Trace 1,62,1278.2349562644958
SUCCESS,Trace 1,62,1243.2018601894379
SUCCESS,Trace 1,62,1278.258295059204
SUCCESS,Trace 1,62,1348.0241286754608
SUCCESS,Trace 1,62,1228.2018852233887
FAIL,Trace 1,43,853.2582926750183
SUCCESS,Trace 1,62,1277.8462940454483
SUCCESS,Trace 1,62,1367.8149783611298
SUCCESS,Trace 1,62,1338.1666469573975
FAIL,Trace 1,30,573.3299607038498
SUCCESS,Trace 1,62,1263.2019639015198
SUCCESS,Trace 1,62,1288.143471479416
SUCCESS,Trace 1,62,1230.2765500545502
SUCCESS,Trace 1,62,1218.2582902908325
SUCCESS,Trace 1,62,1258.2024383544922
SUCCESS,Trace 1,62,1274.6348702907562
SUCCESS,Trace 1,62,1353.240647315979
SUCCESS,Trace 1,62,1313.1243991851807
SUCCESS,Trace 1,62,1258.188292980194
FAIL,Trace 1,29,612.3542949557304
SUCCESS,Trace 1,62,1268.234941959381
SUCCESS,Trace 1,62,1203.2253122329712
SUCCESS,Trace 1,62,1318.193815946579
SUCCESS,Trace 1,62,1304.5128512382507
SUCCESS,Trace 1,62,1373.22518825531
SUCCESS,Trace 1,62,1278.1050741672516
SUCCESS,Trace 1,62,1248.1924557685852
SUCCESS,Trace 1,62,1258.1170082092285
SUCCESS,Trace 1,62,1228.2253122329712
SUCCESS,Trace 1,62,1333.176035284996
SUCCESS,Trace 1,62,1223.2099604606628
SUCCESS,Trace 1,62,1278.1882905960083
SUCCESS,Trace 1,62,1339.9841034412384
SUCCESS,Trace 1,62,1258.2409596443176
SUCCESS,Trace 1,62,1305.380746126175
SUCCESS,Trace 1,62,1357.9515528678894
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1263.258295059204
SUCCESS,Trace 1,62,1228.2582926750183
SUCCESS,Trace 1,62,1343.2582926750183
SUCCESS,Trace 1,62,1268.2349586486816
SUCCESS,Trace 1,62,1306.5420544147491
FAIL,Trace 1,25,554.658294916153
FAIL,Trace 1,20,468.2349407672882
SUCCESS,Trace 1,62,1353.1874930858612
SUCCESS,Trace 1,62,1258.2099795341492
SUCCESS,Trace 1,62,1263.2349610328674
SUCCESS,Trace 1,62,1388.2024359703064
SUCCESS,Trace 1,62,1233.2349610328674
SUCCESS,Trace 1,62,1245.4290771484375
SUCCESS,Trace 1,62,1248.2582902908325
SUCCESS,Trace 1,62,1288.1291270256042
SUCCESS,Trace 1,62,1288.2348322868347
SUCCESS,Trace 1,62,1258.187495470047
FAIL,Trace 1,14,307.2787734866142
SUCCESS,Trace 1,62,1223.1801295280457
FAIL,Trace 1,15,288.37829053401947
FAIL,Trace 1,42,806.2247782945633
SUCCESS,Trace 1,62,1333.1298506259918
SUCCESS,Trace 1,62,1263.2099771499634
SUCCESS,Trace 1,62,1268.209958076477
SUCCESS,Trace 1,62,1377.6995146274567
