Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,46.02022116903637
SUCCESS,Trace 1,62,44.78559940587257
SUCCESS,Trace 1,62,45.08688783570304
SUCCESS,Trace 1,62,47.219598886457426
SUCCESS,Trace 1,62,45.352932219790766
SUCCESS,Trace 1,62,44.55293168692513
SUCCESS,Trace 1,62,44.252264100613246
SUCCESS,Trace 1,62,47.01892999686204
SUCCESS,Trace 1,62,45.152612181844496
FAIL,Trace 1,24,16.686887835703004
SUCCESS,Trace 1,62,48.55355450078175
SUCCESS,Trace 1,32,23.05294261048078
SUCCESS,Trace 1,62,45.88511831119221
SUCCESS,Trace 1,62,46.883950205264
SUCCESS,Trace 1,62,44.08501818350563
SUCCESS,Trace 1,62,44.55292034689126
SUCCESS,Trace 1,41,29.95355450236968
SUCCESS,Trace 1,62,43.652940048547435
SUCCESS,Trace 1,62,44.7202211690364
SUCCESS,Trace 1,62,47.85355449457894
SUCCESS,Trace 1,62,46.6868817564467
SUCCESS,Trace 1,62,45.21959888645744
SUCCESS,Trace 1,62,45.486887835703
SUCCESS,Trace 1,62,43.15350461573128
SUCCESS,Trace 1,62,43.38641701007021
SUCCESS,Trace 1,62,45.71893226956103
SUCCESS,Trace 1,62,44.35308367673719
SUCCESS,Trace 1,62,48.65226607254222
SUCCESS,Trace 1,62,45.3535545023697
SUCCESS,Trace 1,62,45.01868857197558
SUCCESS,Trace 1,62,46.55293221979075
SUCCESS,Trace 1,62,47.03101917373651
SUCCESS,Trace 1,38,29.22022116903634
SUCCESS,Trace 1,62,44.51889447086675
SUCCESS,Trace 1,62,42.7515399082538
SUCCESS,Trace 1,62,44.41959844516
SUCCESS,Trace 1,62,45.920221169036274
SUCCESS,Trace 1,62,45.61596313524912
SUCCESS,Trace 1,62,45.9967452178851
SUCCESS,Trace 1,62,45.38593925854292
SUCCESS,Trace 1,62,46.686265553124095
SUCCESS,Trace 1,62,44.819325649114845
SUCCESS,Trace 1,62,44.785530088067084
SUCCESS,Trace 1,62,46.85203245330576
SUCCESS,Trace 1,62,46.95293221979076
SUCCESS,Trace 1,62,46.5535545023697
SUCCESS,Trace 1,62,45.61776845304258
SUCCESS,Trace 1,62,44.419871303829915
SUCCESS,Trace 1,62,45.48599235890915
SUCCESS,Trace 1,62,44.520219197080344
SUCCESS,Trace 1,62,44.25293221979074
SUCCESS,Trace 1,62,45.130453397072735
FAIL,Trace 1,18,12.286887835667114
SUCCESS,Trace 1,62,47.55239853634073
SUCCESS,Trace 1,62,48.72017953020718
SUCCESS,Trace 1,62,48.28626555109038
SUCCESS,Trace 1,62,44.58641701007053
SUCCESS,Trace 1,62,44.91960508423758
SUCCESS,Trace 1,62,44.85227944059
SUCCESS,Trace 1,62,44.51803862800777
SUCCESS,Trace 1,62,44.38595639497462
SUCCESS,Trace 1,62,46.23470777352952
SUCCESS,Trace 1,62,44.053554502101356
SUCCESS,Trace 1,62,45.1855994059073
SUCCESS,Trace 1,62,44.935996203329914
SUCCESS,Trace 1,62,45.75354773982572
SUCCESS,Trace 1,62,45.551835006841806
SUCCESS,Trace 1,62,48.352854191879615
SUCCESS,Trace 1,62,45.41835200367773
SUCCESS,Trace 1,62,47.219871303829905
SUCCESS,Trace 1,62,45.81891066529078
SUCCESS,Trace 1,62,43.62022116903216
SUCCESS,Trace 1,62,48.68626555312409
SUCCESS,Trace 1,62,46.28586532677678
SUCCESS,Trace 1,62,47.486887835702994
SUCCESS,Trace 1,62,46.686265553124095
FAIL,Trace 1,17,10.98559940583717
SUCCESS,Trace 1,62,44.81959844434701
SUCCESS,Trace 1,62,45.052580082693865
SUCCESS,Trace 1,62,45.22022116903637
SUCCESS,Trace 1,62,46.13337951157252
SUCCESS,Trace 1,62,45.83302429261267
SUCCESS,Trace 1,62,44.51865398044139
SUCCESS,Trace 1,62,43.78559940590729
SUCCESS,Trace 1,62,45.932720043185675
SUCCESS,Trace 1,62,47.152944316378196
SUCCESS,Trace 1,62,45.352932219790766
SUCCESS,Trace 1,62,44.61845306242784
SUCCESS,Trace 1,62,42.78626510999825
SUCCESS,Trace 1,62,44.5177449337601
SUCCESS,Trace 1,62,44.81959888645747
SUCCESS,Trace 1,62,45.186885863747015
SUCCESS,Trace 1,26,20.020221169031604
SUCCESS,Trace 1,62,40.78688783570301
SUCCESS,Trace 1,62,43.18573120510311
SUCCESS,Trace 1,62,45.35355450236968
SUCCESS,Trace 1,30,20.01959767646785
SUCCESS,Trace 1,62,47.486265111013665
SUCCESS,Trace 1,62,44.81893049958464
SUCCESS,Trace 1,62,44.71995494497659
SUCCESS,Trace 1,62,44.45355242243664
SUCCESS,Trace 1,62,44.951090080024244
SUCCESS,Trace 1,62,43.886583347934966
SUCCESS,Trace 1,62,44.420221169036374
SUCCESS,Trace 1,62,45.11975197767485
SUCCESS,Trace 1,62,42.42022116903636
SUCCESS,Trace 1,62,45.585598936227186
SUCCESS,Trace 1,62,47.219878403805225
SUCCESS,Trace 1,62,50.020221169036326
SUCCESS,Trace 1,62,45.08688783570301
SUCCESS,Trace 1,62,45.48688783570304
SUCCESS,Trace 1,62,44.353091181654634
SUCCESS,Trace 1,62,43.94594977147358
SUCCESS,Trace 1,62,44.75355450236973
SUCCESS,Trace 1,62,44.553554502369686
SUCCESS,Trace 1,62,45.62022116903637
SUCCESS,Trace 1,62,45.717013460779306
SUCCESS,Trace 1,62,46.09849762335948
SUCCESS,Trace 1,62,45.05266071361219
SUCCESS,Trace 1,62,44.95320645877056
SUCCESS,Trace 1,62,43.120221169035865
SUCCESS,Trace 1,62,45.75293176461037
SUCCESS,Trace 1,62,45.08688783570304
SUCCESS,Trace 1,62,48.818158800185294
SUCCESS,Trace 1,45,29.2530922633072
SUCCESS,Trace 1,62,43.185455429112764
SUCCESS,Trace 1,62,46.2522655890109
SUCCESS,Trace 1,62,45.42022116699015
SUCCESS,Trace 1,62,45.9849056181259
SUCCESS,Trace 1,62,43.11975034340387
SUCCESS,Trace 1,62,43.58533317887009
SUCCESS,Trace 1,62,45.986885863746885
SUCCESS,Trace 1,62,45.053554488482945
SUCCESS,Trace 1,62,47.22022116903634
SUCCESS,Trace 1,62,44.95293221975778
SUCCESS,Trace 1,62,44.552931778494134
SUCCESS,Trace 1,62,44.7851857575662
SUCCESS,Trace 1,62,45.118932269559686
SUCCESS,Trace 1,62,44.82022116903635
SUCCESS,Trace 1,62,48.5186281599007
SUCCESS,Trace 1,62,44.88688783362968
SUCCESS,Trace 1,62,45.75355450236969
SUCCESS,Trace 1,62,43.71974818650374
SUCCESS,Trace 1,62,49.31844772987766
SUCCESS,Trace 1,62,47.620221169036256
SUCCESS,Trace 1,62,46.02022116903637
SUCCESS,Trace 1,62,45.22022116903225
SUCCESS,Trace 1,62,44.95293221975778
SUCCESS,Trace 1,62,44.82018107188172
SUCCESS,Trace 1,62,46.08649631802244
SUCCESS,Trace 1,62,45.81868722121589
SUCCESS,Trace 1,62,45.85225211223257
SUCCESS,Trace 1,62,44.953554502369705
SUCCESS,Trace 1,29,20.0522656020325
SUCCESS,Trace 1,62,46.25350636852193
SUCCESS,Trace 1,62,44.153554502369694
SUCCESS,Trace 1,62,43.75226551132482
SUCCESS,Trace 1,62,48.019248325904954
FAIL,Trace 1,13,8.886886929450535
SUCCESS,Trace 1,62,47.18626380194519
SUCCESS,Trace 1,62,44.385990848987234
FAIL,Trace 1,11,6.2202210635810165
