Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,17.0
SUCCESS,Trace 1,62,50.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,24,23.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,32,17.0
SUCCESS,Trace 1,62,20.0
SUCCESS,Trace 1,62,46.0
SUCCESS,Trace 1,62,42.0
SUCCESS,Trace 1,62,38.0
SUCCESS,Trace 1,41,40.0
SUCCESS,Trace 1,62,13.0
SUCCESS,Trace 1,62,38.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,10.0
SUCCESS,Trace 1,62,15.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,38,37.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,4.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,29.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,33.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,27.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,37.0
SUCCESS,Trace 1,62,23.0
SUCCESS,Trace 1,62,16.0
SUCCESS,Trace 1,18,17.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,25.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,38.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,46.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,48.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,17,14.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,39.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,62,36.0
SUCCESS,Trace 1,62,21.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,11.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,62,29.0
SUCCESS,Trace 1,26,25.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,31.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,30,28.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,38.0
