Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1268.234941959381
SUCCESS,Trace 1,62,1263.2582902908325
FAIL,Trace 1,48,988.0897271633148
SUCCESS,Trace 1,62,1240.367225408554
SUCCESS,Trace 1,62,1238.234941959381
SUCCESS,Trace 1,62,1263.1689167022705
SUCCESS,Trace 1,62,1232.9258608818054
SUCCESS,Trace 1,62,1238.2099723815918
FAIL,Trace 1,52,1038.1416255235672
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1247.738664150238
FAIL,Trace 1,59,1150.7608389854431
SUCCESS,Trace 1,62,1332.8557789325714
SUCCESS,Trace 1,62,1218.1257939338684
SUCCESS,Trace 1,62,1268.196438550949
SUCCESS,Trace 1,62,1278.1364691257477
SUCCESS,Trace 1,62,1263.1925189495087
SUCCESS,Trace 1,62,1298.21723818779
SUCCESS,Trace 1,62,1238.062243461609
FAIL,Trace 1,10,178.17530632019043
SUCCESS,Trace 1,62,1278.2091045379639
SUCCESS,Trace 1,62,1202.9412984848022
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1308.1873857975006
SUCCESS,Trace 1,62,1243.2099270820618
SUCCESS,Trace 1,62,1263.258295059204
SUCCESS,Trace 1,62,1271.5944814682007
SUCCESS,Trace 1,62,1213.2099294662476
SUCCESS,Trace 1,62,1305.3432738780975
SUCCESS,Trace 1,62,1218.1522738933563
SUCCESS,Trace 1,62,1268.1540977954865
FAIL,Trace 1,5,81.27571225166321
FAIL,Trace 1,22,404.6012270450592
FAIL,Trace 1,12,229.30603861808777
FAIL,Trace 1,53,1058.25829744339
SUCCESS,Trace 1,62,1243.2349395751953
SUCCESS,Trace 1,62,1268.0917036533356
SUCCESS,Trace 1,62,1313.0641758441925
SUCCESS,Trace 1,62,1213.1722104549408
FAIL,Trace 1,16,317.55562484264374
SUCCESS,Trace 1,62,1263.234941959381
SUCCESS,Trace 1,62,1280.18359541893
SUCCESS,Trace 1,62,1213.258295059204
SUCCESS,Trace 1,62,1263.032615184784
SUCCESS,Trace 1,62,1252.7622377872467
SUCCESS,Trace 1,62,1238.251827955246
FAIL,Trace 1,37,703.196427822113
SUCCESS,Trace 1,62,1213.258295059204
SUCCESS,Trace 1,62,1228.196438550949
FAIL,Trace 1,58,1173.1166303157806
