Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,45.75293177768031
SUCCESS,Trace 1,62,45.62022116903635
SUCCESS,Trace 1,48,34.55006325240565
SUCCESS,Trace 1,62,45.03599620332991
SUCCESS,Trace 1,62,44.95293177849331
SUCCESS,Trace 1,62,44.88591739019496
SUCCESS,Trace 1,62,43.81892867745595
SUCCESS,Trace 1,62,44.91893273920587
SUCCESS,Trace 1,52,36.985365363424165
SUCCESS,Trace 1,62,44.420221169036374
SUCCESS,Trace 1,62,45.15061418416232
SUCCESS,Trace 1,59,41.41959767647933
SUCCESS,Trace 1,62,47.48391202215353
SUCCESS,Trace 1,62,44.28569119385787
SUCCESS,Trace 1,62,45.72022116742042
SUCCESS,Trace 1,62,45.917952307203265
SUCCESS,Trace 1,62,45.55327616346794
SUCCESS,Trace 1,62,46.485793151226915
SUCCESS,Trace 1,62,44.88595952177732
FAIL,Trace 1,10,5.719592109993308
SUCCESS,Trace 1,62,46.01991589414448
SUCCESS,Trace 1,62,43.78688783569886
SUCCESS,Trace 1,62,44.41959844434699
SUCCESS,Trace 1,62,45.252313336874565
SUCCESS,Trace 1,62,45.052264784323306
SUCCESS,Trace 1,62,45.62022116903634
SUCCESS,Trace 1,62,45.57804668067902
SUCCESS,Trace 1,62,44.252264784323344
SUCCESS,Trace 1,62,46.76747415607437
SUCCESS,Trace 1,62,44.31866140068005
SUCCESS,Trace 1,62,44.48468279443605
FAIL,Trace 1,5,1.8801294969714422
FAIL,Trace 1,22,14.085366058770163
FAIL,Trace 1,12,7.416084895501492
SUCCESS,Trace 1,53,37.68688783570302
SUCCESS,Trace 1,62,45.08626511101364
SUCCESS,Trace 1,62,45.617127920849136
SUCCESS,Trace 1,62,45.785681859338766
SUCCESS,Trace 1,62,44.252925729517465
FAIL,Trace 1,16,10.649453636077995
SUCCESS,Trace 1,62,45.61959844515998
SUCCESS,Trace 1,62,43.63315801462441
SUCCESS,Trace 1,62,44.28688783570304
SUCCESS,Trace 1,62,44.58506490052175
SUCCESS,Trace 1,62,45.3157512074767
SUCCESS,Trace 1,62,44.953514405214975
SUCCESS,Trace 1,37,24.98684175115516
SUCCESS,Trace 1,62,44.28688783570302
SUCCESS,Trace 1,62,44.65355450236922
SUCCESS,Trace 1,58,41.81786805482813
SUCCESS,Trace 1,62,44.152931009801215
SUCCESS,Trace 1,62,45.202034853778905
SUCCESS,Trace 1,62,43.984464564067316
FAIL,Trace 1,22,14.385994159660767
SUCCESS,Trace 1,62,45.22022038212165
SUCCESS,Trace 1,62,47.153514485019755
SUCCESS,Trace 1,62,45.25142860437108
FAIL,Trace 1,6,2.5162685873785575
SUCCESS,Trace 1,62,42.5868878354664
FAIL,Trace 1,20,12.18688783570293
SUCCESS,Trace 1,62,45.85226478431919
SUCCESS,Trace 1,62,47.00137173157378
SUCCESS,Trace 1,33,23.152931012739725
SUCCESS,Trace 1,62,45.11672307978731
SUCCESS,Trace 1,62,46.615344994231954
FAIL,Trace 1,6,2.4169355743565797
SUCCESS,Trace 1,62,45.119317553682755
SUCCESS,Trace 1,62,47.42973678339033
SUCCESS,Trace 1,62,44.020221169036375
SUCCESS,Trace 1,62,44.28592061224134
SUCCESS,Trace 1,62,45.88535392648889
SUCCESS,Trace 1,62,44.61867228270106
SUCCESS,Trace 1,62,45.58559893536262
SUCCESS,Trace 1,62,45.06932884128963
SUCCESS,Trace 1,62,44.18502778397948
SUCCESS,Trace 1,62,45.03536750301073
SUCCESS,Trace 1,49,36.71959844491995
SUCCESS,Trace 1,62,45.71902385231309
FAIL,Trace 1,15,9.820221075403209
SUCCESS,Trace 1,62,44.518932268696
SUCCESS,Trace 1,62,46.286265112287104
SUCCESS,Trace 1,62,46.11901913215437
FAIL,Trace 1,22,14.252931672228978
SUCCESS,Trace 1,62,45.219598445620484
SUCCESS,Trace 1,62,46.48524239755715
SUCCESS,Trace 1,62,44.117545054576105
SUCCESS,Trace 1,62,44.352279317947826
SUCCESS,Trace 1,62,46.15355450236968
FAIL,Trace 1,5,1.8801294969714422
SUCCESS,Trace 1,62,46.286887835702984
SUCCESS,Trace 1,62,44.41959767646786
SUCCESS,Trace 1,35,24.31893273920585
SUCCESS,Trace 1,62,42.25320991744696
SUCCESS,Trace 1,62,44.35045178678136
SUCCESS,Trace 1,62,45.717860083337754
SUCCESS,Trace 1,62,44.05168861185717
SUCCESS,Trace 1,62,44.5529317776803
SUCCESS,Trace 1,62,45.78554725383184
SUCCESS,Trace 1,62,44.102662869996585
SUCCESS,Trace 1,35,24.486887835703005
SUCCESS,Trace 1,47,33.78338515304351
SUCCESS,Trace 1,62,44.717505842192104
SUCCESS,Trace 1,47,33.152931777680315
SUCCESS,Trace 1,62,44.41959230461594
SUCCESS,Trace 1,62,47.08658333584902
SUCCESS,Trace 1,44,30.286887835703023
SUCCESS,Trace 1,62,47.086847726462395
SUCCESS,Trace 1,62,44.71902261313608
SUCCESS,Trace 1,62,47.24984578478634
SUCCESS,Trace 1,62,47.41547128485856
