Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,48,41.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,52,47.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,59,57.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,10,7.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,36.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,33.0
SUCCESS,Trace 1,5,0.0
SUCCESS,Trace 1,22,18.0
SUCCESS,Trace 1,12,10.0
SUCCESS,Trace 1,53,52.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,16,14.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,21.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,36.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,37,35.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,58,55.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,22,19.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,6,3.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,20,0.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,33,31.0
SUCCESS,Trace 1,62,38.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,6,0.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,49,46.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,15,14.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,22,19.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,54.0
SUCCESS,Trace 1,62,36.0
SUCCESS,Trace 1,62,40.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,5,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,35,32.0
SUCCESS,Trace 1,62,24.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,62,43.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,35,34.0
SUCCESS,Trace 1,47,45.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,47,45.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,44,43.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,31.0
SUCCESS,Trace 1,62,56.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,36,35.0
SUCCESS,Trace 1,62,39.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,28,27.0
SUCCESS,Trace 1,22,21.0
SUCCESS,Trace 1,15,13.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,42.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,18,0.0
SUCCESS,Trace 1,62,52.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,56.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,49,47.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,27,25.0
SUCCESS,Trace 1,62,39.0
