Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,21.159972035011325
SUCCESS,Trace 1,62,21.078004758866108
SUCCESS,Trace 1,48,21.505252677677298
SUCCESS,Trace 1,62,20.73934200638054
SUCCESS,Trace 1,62,20.668168755823004
SUCCESS,Trace 1,62,21.078004865539512
SUCCESS,Trace 1,62,20.586201576468756
SUCCESS,Trace 1,62,20.66816866391342
SUCCESS,Trace 1,52,20.70584915085724
SUCCESS,Trace 1,62,20.340299879918334
SUCCESS,Trace 1,62,20.830681817849285
SUCCESS,Trace 1,59,20.18638182057037
SUCCESS,Trace 1,62,22.22409919050338
SUCCESS,Trace 1,62,20.340299870151313
SUCCESS,Trace 1,62,21.159972023645484
SUCCESS,Trace 1,62,21.323878466571195
SUCCESS,Trace 1,62,21.07800475645471
SUCCESS,Trace 1,62,21.651775239253265
SUCCESS,Trace 1,62,20.667981604823787
SUCCESS,Trace 1,10,21.77760256490059
SUCCESS,Trace 1,62,21.323718790148124
SUCCESS,Trace 1,62,20.094398262678578
SUCCESS,Trace 1,62,20.340299903863784
SUCCESS,Trace 1,62,21.815709353341138
SUCCESS,Trace 1,62,20.750135926348904
SUCCESS,Trace 1,62,21.078004837036133
SUCCESS,Trace 1,62,21.299076474755946
SUCCESS,Trace 1,62,20.25833268674539
SUCCESS,Trace 1,62,21.804915700645758
SUCCESS,Trace 1,62,20.3402998790466
SUCCESS,Trace 1,62,21.159971991889357
SUCCESS,Trace 1,5,25.859603467179063
SUCCESS,Trace 1,22,20.16944254927951
SUCCESS,Trace 1,12,22.685992652835356
SUCCESS,Trace 1,53,20.783813412372883
SUCCESS,Trace 1,62,20.750135930352542
SUCCESS,Trace 1,62,21.159972023441274
SUCCESS,Trace 1,62,21.897676903083774
SUCCESS,Trace 1,62,20.258329501394254
SUCCESS,Trace 1,16,22.383782466252644
SUCCESS,Trace 1,62,21.078004821396775
SUCCESS,Trace 1,62,21.394864012611993
SUCCESS,Trace 1,62,20.25833270588859
SUCCESS,Trace 1,62,21.0780047492328
SUCCESS,Trace 1,62,20.912437233250564
SUCCESS,Trace 1,62,20.668144030649152
SUCCESS,Trace 1,37,20.15995257192931
SUCCESS,Trace 1,62,20.25833270588859
SUCCESS,Trace 1,62,20.50423431872745
SUCCESS,Trace 1,58,20.89548167083517
SUCCESS,Trace 1,62,20.176365480670952
SUCCESS,Trace 1,62,20.821305908134743
SUCCESS,Trace 1,62,20.34029990584631
SUCCESS,Trace 1,22,20.798013869656536
SUCCESS,Trace 1,62,20.832102611416676
