Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1228.2349109649658
SUCCESS,Trace 1,62,1248.209912776947
SUCCESS,Trace 1,62,1273.2582902908325
SUCCESS,Trace 1,62,1253.2349395751953
FAIL,Trace 1,62,1198.2099258899689
SUCCESS,Trace 1,62,1231.0391449928284
SUCCESS,Trace 1,62,1222.7920579910278
SUCCESS,Trace 1,62,1208.2284569740295
SUCCESS,Trace 1,62,1253.2582914829254
SUCCESS,Trace 1,62,1213.2339596748352
SUCCESS,Trace 1,62,1208.209229707718
SUCCESS,Trace 1,62,1338.2584232091904
SUCCESS,Trace 1,62,1273.234829902649
FAIL,Trace 1,62,1178.1835198402405
SUCCESS,Trace 1,62,1213.2099294662476
SUCCESS,Trace 1,62,1248.209958076477
SUCCESS,Trace 1,62,1203.2019329071045
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1208.2582926750183
FAIL,Trace 1,62,1198.2582938671112
SUCCESS,Trace 1,62,1283.25829744339
SUCCESS,Trace 1,62,1248.209924697876
FAIL,Trace 1,62,1161.7588698863983
SUCCESS,Trace 1,62,1278.2582902908325
SUCCESS,Trace 1,62,1350.4290771484375
FAIL,Trace 1,62,1198.2099294662476
SUCCESS,Trace 1,62,1393.2099759578705
SUCCESS,Trace 1,62,1288.2349121570587
SUCCESS,Trace 1,62,1203.258296251297
SUCCESS,Trace 1,62,1303.1534779071808
FAIL,Trace 1,15,263.35491359233856
SUCCESS,Trace 1,62,1254.9840557575226
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1228.2099294662476
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1208.2582914829254
SUCCESS,Trace 1,62,1248.662880063057
SUCCESS,Trace 1,62,1206.4922267198563
FAIL,Trace 1,62,1198.234943151474
SUCCESS,Trace 1,62,1258.234941959381
SUCCESS,Trace 1,62,1223.21151137352
SUCCESS,Trace 1,62,1238.234943151474
SUCCESS,Trace 1,62,1218.2099604606628
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1238.2582926750183
SUCCESS,Trace 1,62,1268.2409524917603
FAIL,Trace 1,62,1198.211510181427
SUCCESS,Trace 1,62,1243.2099628448486
SUCCESS,Trace 1,62,1288.2111936807632
SUCCESS,Trace 1,62,1227.8623461723328
SUCCESS,Trace 1,62,1233.2349109649658
SUCCESS,Trace 1,62,1293.258295059204
FAIL,Trace 1,62,1120.4290759563446
SUCCESS,Trace 1,62,1268.2339584827423
SUCCESS,Trace 1,62,1268.1882238388062
SUCCESS,Trace 1,62,1233.201835155487
SUCCESS,Trace 1,62,1328.2582902908325
SUCCESS,Trace 1,62,1248.2583099603653
SUCCESS,Trace 1,62,1265.3313279151917
SUCCESS,Trace 1,62,1253.2349133491516
SUCCESS,Trace 1,62,1233.2582902908325
SUCCESS,Trace 1,62,1213.234941959381
SUCCESS,Trace 1,62,1253.2582926750183
SUCCESS,Trace 1,62,1253.211178779602
SUCCESS,Trace 1,62,1263.2349109649658
SUCCESS,Trace 1,62,1213.234941959381
SUCCESS,Trace 1,62,1278.2099533081055
SUCCESS,Trace 1,62,1248.2582926750183
SUCCESS,Trace 1,62,1308.1784081459045
SUCCESS,Trace 1,62,1218.1882238388062
FAIL,Trace 1,62,1198.234944343567
FAIL,Trace 1,62,1188.2582938671112
SUCCESS,Trace 1,62,1253.2574450969696
SUCCESS,Trace 1,62,1298.2099795341492
FAIL,Trace 1,62,1198.2349157333374
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1233.2349157333374
SUCCESS,Trace 1,62,1218.2115399837494
SUCCESS,Trace 1,62,1243.234944343567
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1233.209946155548
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1208.2099282741547
SUCCESS,Trace 1,62,1323.2099270820618
SUCCESS,Trace 1,62,1248.1947350502014
FAIL,Trace 1,60,1158.3782929182053
SUCCESS,Trace 1,62,1253.129106760025
SUCCESS,Trace 1,62,1233.1573331356049
SUCCESS,Trace 1,62,1263.2349479198456
SUCCESS,Trace 1,62,1248.2582926750183
SUCCESS,Trace 1,62,1233.2111859321594
SUCCESS,Trace 1,62,1212.8857231140137
SUCCESS,Trace 1,62,1273.2903385162354
FAIL,Trace 1,19,346.2349134683609
