Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,50.826054006777674
SUCCESS,Trace 1,62,50.95085879263834
SUCCESS,Trace 1,62,51.177799170616126
SUCCESS,Trace 1,62,51.02136673198045
SUCCESS,Trace 1,62,50.56023382196789
SUCCESS,Trace 1,62,50.79975285645401
SUCCESS,Trace 1,62,50.25451500240707
SUCCESS,Trace 1,62,50.66979225955867
SUCCESS,Trace 1,62,51.02154917061611
SUCCESS,Trace 1,62,50.70886495048335
SUCCESS,Trace 1,62,50.66989746521531
SUCCESS,Trace 1,62,51.68561190062161
SUCCESS,Trace 1,62,51.177616527799735
SUCCESS,Trace 1,62,50.27877747559053
SUCCESS,Trace 1,62,50.677421323532215
SUCCESS,Trace 1,62,50.95085906349088
SUCCESS,Trace 1,62,50.44298383785794
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.66980400677769
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.59186167061611
SUCCESS,Trace 1,62,51.25592417061612
SUCCESS,Trace 1,62,50.95085882353221
SUCCESS,Trace 1,62,50.28288908417031
SUCCESS,Trace 1,62,51.216861670616126
SUCCESS,Trace 1,62,51.79765513762496
SUCCESS,Trace 1,62,50.56023382196789
SUCCESS,Trace 1,62,52.08367170094042
SUCCESS,Trace 1,62,51.29480400684822
SUCCESS,Trace 1,62,50.63092417061609
SUCCESS,Trace 1,62,51.38044386006109
FAIL,Trace 1,15,10.3123040067783
SUCCESS,Trace 1,62,51.054518364942744
SUCCESS,Trace 1,62,50.70904917061611
SUCCESS,Trace 1,62,50.7946088235322
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.98308212682407
SUCCESS,Trace 1,62,50.63666389668781
SUCCESS,Trace 1,62,50.59167923198069
SUCCESS,Trace 1,62,51.06042923173421
SUCCESS,Trace 1,62,50.72430866389672
SUCCESS,Trace 1,62,50.90417923198069
SUCCESS,Trace 1,62,50.71648406309451
SUCCESS,Trace 1,62,48.79498667061611
SUCCESS,Trace 1,62,50.90436167061611
SUCCESS,Trace 1,62,48.98235119675574
SUCCESS,Trace 1,62,50.52899616389675
SUCCESS,Trace 1,62,50.91179656334781
SUCCESS,Trace 1,62,50.63836862428684
SUCCESS,Trace 1,62,50.82537659827814
SUCCESS,Trace 1,62,50.865116505307235
SUCCESS,Trace 1,62,51.33404917061611
SUCCESS,Trace 1,62,50.000780137694306
SUCCESS,Trace 1,62,51.13855245448128
SUCCESS,Trace 1,62,50.29443925500234
SUCCESS,Trace 1,62,49.833608833813564
SUCCESS,Trace 1,62,51.60748667061612
SUCCESS,Trace 1,62,50.98248670097545
SUCCESS,Trace 1,62,50.72661773452947
SUCCESS,Trace 1,62,51.02136650677767
SUCCESS,Trace 1,62,50.8652991706161
SUCCESS,Trace 1,62,48.833866731742276
SUCCESS,Trace 1,62,51.021549170616105
SUCCESS,Trace 1,62,49.89618109769844
SUCCESS,Trace 1,62,51.06824150677769
