Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,20.504234294044956
SUCCESS,Trace 1,62,20.83210311992115
SUCCESS,Trace 1,62,21.241939185095614
SUCCESS,Trace 1,62,20.914070356082252
SUCCESS,Trace 1,62,20.012430992056117
SUCCESS,Trace 1,62,20.51502831686584
SUCCESS,Trace 1,62,20.420845700759944
SUCCESS,Trace 1,62,20.176340915752366
SUCCESS,Trace 1,62,20.914070352179106
SUCCESS,Trace 1,62,20.25832891854499
SUCCESS,Trace 1,62,20.176178275561725
SUCCESS,Trace 1,62,22.307513541862612
SUCCESS,Trace 1,62,21.24193881769065
FAIL,Trace 1,62,19.684562242692767
SUCCESS,Trace 1,62,20.25833268674539
SUCCESS,Trace 1,62,20.832103144048986
SUCCESS,Trace 1,62,20.094398286909783
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.176365480670952
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.012431047001822
SUCCESS,Trace 1,62,21.40587372858016
SUCCESS,Trace 1,62,20.832103100378642
FAIL,Trace 1,62,19.496009704369328
SUCCESS,Trace 1,62,21.32390639821037
SUCCESS,Trace 1,62,22.542620643240507
SUCCESS,Trace 1,62,20.012431050683638
SUCCESS,Trace 1,62,23.209152329098302
SUCCESS,Trace 1,62,21.48784087096451
SUCCESS,Trace 1,62,20.09439829920159
SUCCESS,Trace 1,62,21.733527091104737
SUCCESS,Trace 1,15,20.07130677195014
SUCCESS,Trace 1,62,20.983634881908564
SUCCESS,Trace 1,62,20.25833266680358
SUCCESS,Trace 1,62,20.5042343260897
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.17636543414632
SUCCESS,Trace 1,62,20.833735965090856
SUCCESS,Trace 1,62,20.10682556058822
SUCCESS,Trace 1,62,20.012431070446986
SUCCESS,Trace 1,62,20.99603760878182
SUCCESS,Trace 1,62,20.422267151383807
SUCCESS,Trace 1,62,20.668168775365018
SUCCESS,Trace 1,62,20.340299905277185
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.66816873237735
SUCCESS,Trace 1,62,21.159972018779147
SUCCESS,Trace 1,62,20.01243106626753
SUCCESS,Trace 1,62,20.75013600940447
SUCCESS,Trace 1,62,21.48784091345835
SUCCESS,Trace 1,62,20.502813009685408
SUCCESS,Trace 1,62,20.586201510245225
SUCCESS,Trace 1,62,21.56980811572466
FAIL,Trace 1,62,18.77212882041931
SUCCESS,Trace 1,62,21.159968204179766
SUCCESS,Trace 1,62,21.15997201700681
