Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1325.3316354751587
SUCCESS,Trace 1,62,1218.2582926750183
SUCCESS,Trace 1,62,1304.950933456421
SUCCESS,Trace 1,62,1233.234941959381
SUCCESS,Trace 1,62,1223.2349407672882
SUCCESS,Trace 1,62,1247.8366529941559
SUCCESS,Trace 1,62,1313.1682872772217
SUCCESS,Trace 1,62,1208.224778175354
SUCCESS,Trace 1,62,1227.8301966190338
SUCCESS,Trace 1,62,1260.405594110489
SUCCESS,Trace 1,62,1308.2349395751953
SUCCESS,Trace 1,62,1253.2582902908325
FAIL,Trace 1,62,1199.9512243270874
SUCCESS,Trace 1,62,1234.9840557575226
SUCCESS,Trace 1,62,1203.258295059204
FAIL,Trace 1,62,1198.2012295722961
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1258.2349395751953
SUCCESS,Trace 1,62,1224.9534165859222
FAIL,Trace 1,62,1173.234941959381
SUCCESS,Trace 1,62,1268.1552004814148
SUCCESS,Trace 1,62,1323.2115244865417
SUCCESS,Trace 1,62,1223.258295059204
SUCCESS,Trace 1,62,1228.2019639015198
SUCCESS,Trace 1,62,1218.258295059204
FAIL,Trace 1,62,1193.1719660758972
SUCCESS,Trace 1,62,1233.2582926750183
SUCCESS,Trace 1,62,1245.0074350833893
SUCCESS,Trace 1,62,1203.201423883438
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1253.2582914829254
SUCCESS,Trace 1,62,1233.2582902908325
SUCCESS,Trace 1,62,1273.2099318504333
SUCCESS,Trace 1,62,1233.2253086566925
FAIL,Trace 1,62,1168.1835186481476
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1203.2247805595398
SUCCESS,Trace 1,62,1243.1684470176697
SUCCESS,Trace 1,62,1272.7955973148346
SUCCESS,Trace 1,62,1238.2582938671112
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1223.2099282741547
SUCCESS,Trace 1,62,1213.2099294662476
SUCCESS,Trace 1,62,1323.227504491806
FAIL,Trace 1,62,1198.2099294662476
SUCCESS,Trace 1,62,1238.234944343567
SUCCESS,Trace 1,62,1258.2252490520477
SUCCESS,Trace 1,62,1273.2581651210785
SUCCESS,Trace 1,62,1268.258295059204
SUCCESS,Trace 1,62,1203.2099318504333
SUCCESS,Trace 1,62,1318.2582926750183
FAIL,Trace 1,62,1143.1875801086426
SUCCESS,Trace 1,62,1305.0564873218536
SUCCESS,Trace 1,62,1329.8961460590363
SUCCESS,Trace 1,62,1328.258295059204
SUCCESS,Trace 1,62,1373.2582998275757
FAIL,Trace 1,62,1168.2582938671112
SUCCESS,Trace 1,62,1253.2349133491516
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1213.1802082061768
SUCCESS,Trace 1,62,1208.1917977333069
SUCCESS,Trace 1,62,1213.2573342323303
SUCCESS,Trace 1,62,1278.2353925704956
SUCCESS,Trace 1,62,1253.2099747657776
SUCCESS,Trace 1,62,1208.2581877708435
FAIL,Trace 1,62,1193.258295059204
SUCCESS,Trace 1,62,1303.2349455356598
SUCCESS,Trace 1,62,1243.2248401641846
SUCCESS,Trace 1,62,1258.2582926750183
SUCCESS,Trace 1,62,1278.2099556922913
SUCCESS,Trace 1,62,1205.0565016269684
SUCCESS,Trace 1,62,1203.2253122329712
SUCCESS,Trace 1,62,1228.1867325305939
SUCCESS,Trace 1,62,1293.2247233390808
SUCCESS,Trace 1,62,1233.2349133491516
SUCCESS,Trace 1,62,1223.258295059204
SUCCESS,Trace 1,62,1208.2019329071045
SUCCESS,Trace 1,62,1208.2019352912903
SUCCESS,Trace 1,62,1228.2115387916565
SUCCESS,Trace 1,62,1223.234941959381
FAIL,Trace 1,62,1183.2252407073975
SUCCESS,Trace 1,62,1218.1786561012268
SUCCESS,Trace 1,62,1238.1875789165497
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1253.2247233390808
SUCCESS,Trace 1,62,1208.2012271881104
SUCCESS,Trace 1,62,1338.2582879066467
SUCCESS,Trace 1,62,1303.2020765542984
SUCCESS,Trace 1,62,1225.023581981659
SUCCESS,Trace 1,62,1213.258295059204
SUCCESS,Trace 1,62,1273.2349407672882
SUCCESS,Trace 1,62,1208.224778175354
SUCCESS,Trace 1,62,1248.2017886638641
SUCCESS,Trace 1,62,1308.2099604606628
FAIL,Trace 1,62,1173.2349145412445
SUCCESS,Trace 1,62,1238.2508528232574
SUCCESS,Trace 1,62,1242.8145742416382
FAIL,Trace 1,62,1118.1874597072601
SUCCESS,Trace 1,62,1218.2349145412445
SUCCESS,Trace 1,62,1203.2582938671112
FAIL,Trace 1,62,1198.2246732711792
SUCCESS,Trace 1,62,1218.2253122329712
SUCCESS,Trace 1,62,1218.1456804275513
SUCCESS,Trace 1,62,1288.2582926750183
SUCCESS,Trace 1,62,1208.2253122329712
SUCCESS,Trace 1,62,1298.234941959381
SUCCESS,Trace 1,62,1233.2252025604248
SUCCESS,Trace 1,62,1238.2349395751953
FAIL,Trace 1,62,1193.2012271881104
SUCCESS,Trace 1,62,1208.2349133491516
SUCCESS,Trace 1,62,1273.234941959381
FAIL,Trace 1,62,1157.2039341926575
SUCCESS,Trace 1,62,1223.2247805595398
SUCCESS,Trace 1,62,1223.2349157333374
SUCCESS,Trace 1,62,1208.284004330635
SUCCESS,Trace 1,62,1258.258295059204
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1223.2253122329712
