Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,51.570625554915104
SUCCESS,Trace 1,62,50.74811167061609
SUCCESS,Trace 1,62,51.44522329513498
SUCCESS,Trace 1,62,50.86511673198069
SUCCESS,Trace 1,62,50.78699173198046
SUCCESS,Trace 1,62,50.98172006170297
SUCCESS,Trace 1,62,50.77118468595522
SUCCESS,Trace 1,62,50.60722484949804
SUCCESS,Trace 1,62,50.82545831448968
SUCCESS,Trace 1,62,51.063097468517604
SUCCESS,Trace 1,62,51.451054231980436
SUCCESS,Trace 1,62,51.02154917061612
SUCCESS,Trace 1,62,50.56206924265349
SUCCESS,Trace 1,62,50.89826836348826
SUCCESS,Trace 1,62,50.63092417061611
SUCCESS,Trace 1,62,50.52891583753032
SUCCESS,Trace 1,62,48.79498667061611
SUCCESS,Trace 1,62,51.060429231980685
SUCCESS,Trace 1,62,49.850859880558325
SUCCESS,Trace 1,62,50.396366731980685
SUCCESS,Trace 1,62,50.387931233637744
SUCCESS,Trace 1,62,50.47430882989556
SUCCESS,Trace 1,62,50.78717417061611
SUCCESS,Trace 1,62,49.794546564489735
SUCCESS,Trace 1,62,50.74811167061611
SUCCESS,Trace 1,62,50.364624731464005
SUCCESS,Trace 1,62,50.86529917061611
SUCCESS,Trace 1,62,50.97657602878116
SUCCESS,Trace 1,62,50.53672986739154
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,51.021549170616105
SUCCESS,Trace 1,62,50.865299170614875
SUCCESS,Trace 1,62,51.146171323532236
SUCCESS,Trace 1,62,48.052541493483886
SUCCESS,Trace 1,62,49.20065248993921
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.56816234616421
SUCCESS,Trace 1,62,49.31772224323704
SUCCESS,Trace 1,62,51.11425634368183
SUCCESS,Trace 1,62,50.90436167061611
SUCCESS,Trace 1,62,48.75592417061611
SUCCESS,Trace 1,62,50.75554632196804
SUCCESS,Trace 1,62,50.677421323532215
SUCCESS,Trace 1,62,51.568228203269
SUCCESS,Trace 1,62,50.560233823532215
SUCCESS,Trace 1,62,50.90417923198069
SUCCESS,Trace 1,62,48.372853519662485
SUCCESS,Trace 1,62,51.17779893600758
SUCCESS,Trace 1,62,51.13873667060699
SUCCESS,Trace 1,62,50.59929632198487
SUCCESS,Trace 1,62,51.52936167054677
SUCCESS,Trace 1,62,50.06787170595514
SUCCESS,Trace 1,62,51.44541520328688
SUCCESS,Trace 1,62,51.608896439934895
SUCCESS,Trace 1,62,51.60748667061611
SUCCESS,Trace 1,62,51.959049170616126
SUCCESS,Trace 1,62,50.357486670685454
SUCCESS,Trace 1,62,51.02136650677769
SUCCESS,Trace 1,62,50.78717417061611
SUCCESS,Trace 1,62,47.45843913267925
SUCCESS,Trace 1,62,49.32571718187243
SUCCESS,Trace 1,62,50.7090474199432
SUCCESS,Trace 1,62,47.59168274680643
SUCCESS,Trace 1,62,50.989921700939206
SUCCESS,Trace 1,62,50.66998646690024
SUCCESS,Trace 1,62,50.55279917061611
SUCCESS,Trace 1,62,51.41199173120651
SUCCESS,Trace 1,62,50.724412824275035
SUCCESS,Trace 1,62,51.06061167061611
SUCCESS,Trace 1,62,51.18523406349087
SUCCESS,Trace 1,62,50.66416523418197
SUCCESS,Trace 1,62,48.59941650171644
SUCCESS,Trace 1,62,50.731932661177424
SUCCESS,Trace 1,62,51.17753688492257
SUCCESS,Trace 1,62,50.865116506777696
SUCCESS,Trace 1,62,47.03717417061611
SUCCESS,Trace 1,62,49.23204633915207
SUCCESS,Trace 1,62,50.35704633922099
SUCCESS,Trace 1,62,50.76337138955131
SUCCESS,Trace 1,62,47.099491731742276
SUCCESS,Trace 1,62,50.411915946557244
SUCCESS,Trace 1,62,48.80998950420289
SUCCESS,Trace 1,62,50.37255920595514
SUCCESS,Trace 1,62,50.66980400677769
SUCCESS,Trace 1,62,48.83378688492274
SUCCESS,Trace 1,62,50.60704083753032
SUCCESS,Trace 1,62,51.6856116706161
SUCCESS,Trace 1,62,50.880484263842106
SUCCESS,Trace 1,62,49.03890806447236
SUCCESS,Trace 1,62,50.70904917061611
SUCCESS,Trace 1,62,51.1776167319807
SUCCESS,Trace 1,62,48.732224849498046
SUCCESS,Trace 1,62,50.982383936435376
SUCCESS,Trace 1,62,51.4196090633478
SUCCESS,Trace 1,62,50.396366505307235
SUCCESS,Trace 1,62,50.904348141844245
SUCCESS,Trace 1,62,50.723446141236536
SUCCESS,Trace 1,62,49.87255824170311
SUCCESS,Trace 1,62,50.74792900530725
SUCCESS,Trace 1,62,50.63092417061612
SUCCESS,Trace 1,62,50.5603489911351
SUCCESS,Trace 1,62,48.56035400296839
SUCCESS,Trace 1,62,48.934731836431
SUCCESS,Trace 1,62,51.29498667061611
SUCCESS,Trace 1,62,49.54472900299048
SUCCESS,Trace 1,62,51.372929231980834
SUCCESS,Trace 1,62,50.552541299275426
SUCCESS,Trace 1,62,50.90417923174227
SUCCESS,Trace 1,62,50.48985333753032
SUCCESS,Trace 1,62,50.66980400677769
SUCCESS,Trace 1,62,51.17761673151547
SUCCESS,Trace 1,62,50.30727626238632
SUCCESS,Trace 1,62,50.75566234949804
SUCCESS,Trace 1,62,50.78699150677768
SUCCESS,Trace 1,62,50.66989343738164
SUCCESS,Trace 1,62,51.060611670616105
SUCCESS,Trace 1,62,48.83404917061611
SUCCESS,Trace 1,62,48.56816650296839
SUCCESS,Trace 1,62,50.74743424027715
SUCCESS,Trace 1,62,48.29624787989041
SUCCESS,Trace 1,62,49.00538066573082
SUCCESS,Trace 1,62,51.76373667061611
SUCCESS,Trace 1,62,50.98248667061611
SUCCESS,Trace 1,62,50.78717417061609
SUCCESS,Trace 1,62,50.27065377740698
SUCCESS,Trace 1,62,48.653921562843244
SUCCESS,Trace 1,62,50.59186167061611
SUCCESS,Trace 1,62,50.94342394007484
SUCCESS,Trace 1,62,48.35722484949804
SUCCESS,Trace 1,62,50.79472398184034
SUCCESS,Trace 1,62,50.33360333753033
SUCCESS,Trace 1,62,49.54454634644995
SUCCESS,Trace 1,62,50.591861670616105
SUCCESS,Trace 1,62,47.421977703357406
SUCCESS,Trace 1,62,50.78699150677767
SUCCESS,Trace 1,62,51.575857450266426
SUCCESS,Trace 1,62,50.86511673198069
SUCCESS,Trace 1,62,48.87292923198046
SUCCESS,Trace 1,62,49.73971468748449
SUCCESS,Trace 1,62,50.24784946885869
SUCCESS,Trace 1,62,49.294580761013876
SUCCESS,Trace 1,62,50.79472484948995
SUCCESS,Trace 1,62,48.68535345491433
SUCCESS,Trace 1,62,51.177616506241925
SUCCESS,Trace 1,62,50.63092417061611
SUCCESS,Trace 1,62,48.528704235644184
SUCCESS,Trace 1,62,51.068046563095464
SUCCESS,Trace 1,62,51.255064100594524
SUCCESS,Trace 1,62,48.63855400530724
SUCCESS,Trace 1,62,50.51355423198045
SUCCESS,Trace 1,62,50.442164655415056
SUCCESS,Trace 1,62,51.02154762365798
SUCCESS,Trace 1,62,50.78699173198069
SUCCESS,Trace 1,62,51.44532602878116
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,50.82605423198069
SUCCESS,Trace 1,62,51.17779917061611
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,51.17941262691366
SUCCESS,Trace 1,62,48.77892514066168
SUCCESS,Trace 1,62,50.247849846127764
SUCCESS,Trace 1,62,50.63092417061611
SUCCESS,Trace 1,62,50.74811167061612
SUCCESS,Trace 1,62,50.786991731742276
SUCCESS,Trace 1,62,50.31798321617997
SUCCESS,Trace 1,62,50.787174167083364
SUCCESS,Trace 1,62,51.02154917061611
SUCCESS,Trace 1,62,50.6646599724014
SUCCESS,Trace 1,62,50.59167900530742
SUCCESS,Trace 1,62,50.34119954550154
SUCCESS,Trace 1,62,50.247849849498046
SUCCESS,Trace 1,62,50.66980400677769
SUCCESS,Trace 1,62,50.09134433855972
SUCCESS,Trace 1,62,51.13873667061489
SUCCESS,Trace 1,62,50.74811167061611
SUCCESS,Trace 1,62,50.66998667061611
SUCCESS,Trace 1,62,48.24914568143232
SUCCESS,Trace 1,62,50.70904917061611
SUCCESS,Trace 1,62,50.77109467106372
SUCCESS,Trace 1,62,48.79480400677769
SUCCESS,Trace 1,62,50.591861670616105
SUCCESS,Trace 1,62,51.47845085681682
SUCCESS,Trace 1,62,50.71648381797014
SUCCESS,Trace 1,62,50.63074150530725
SUCCESS,Trace 1,62,48.73959784692488
SUCCESS,Trace 1,62,50.60704083753032
SUCCESS,Trace 1,62,50.630741505323215
SUCCESS,Trace 1,62,46.98994680030488
SUCCESS,Trace 1,62,50.74792900677769
SUCCESS,Trace 1,62,50.49752226218475
SUCCESS,Trace 1,62,51.01544234023007
SUCCESS,Trace 1,62,51.06042900530742
SUCCESS,Trace 1,62,50.70904917061611
SUCCESS,Trace 1,62,50.90417900677768
SUCCESS,Trace 1,62,51.32757161230382
SUCCESS,Trace 1,62,50.55279917061611
SUCCESS,Trace 1,62,51.32795608990583
SUCCESS,Trace 1,62,50.70886650485801
SUCCESS,Trace 1,62,50.625013559140505
SUCCESS,Trace 1,62,51.028203920447666
SUCCESS,Trace 1,62,47.70097900299049
SUCCESS,Trace 1,62,50.911796323532215
SUCCESS,Trace 1,62,50.26282344653717
SUCCESS,Trace 1,62,50.90417923198045
SUCCESS,Trace 1,62,50.14629129927583
SUCCESS,Trace 1,62,50.63092417061611
SUCCESS,Trace 1,62,51.255741732115375
