Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,22.13259736084643
SUCCESS,Trace 1,62,20.340299879918334
SUCCESS,Trace 1,62,21.803091432227465
SUCCESS,Trace 1,62,20.58620154270776
SUCCESS,Trace 1,62,20.422267096936235
SUCCESS,Trace 1,62,20.830494458558128
SUCCESS,Trace 1,62,21.897461399553396
SUCCESS,Trace 1,62,20.17636543075276
SUCCESS,Trace 1,62,20.502601021625956
SUCCESS,Trace 1,62,21.067210244344903
SUCCESS,Trace 1,62,21.81570970034455
SUCCESS,Trace 1,62,20.914070332636598
SUCCESS,Trace 1,62,20.081998832133866
SUCCESS,Trace 1,62,20.65576603250155
SUCCESS,Trace 1,62,20.094398279659085
SUCCESS,Trace 1,62,20.01243108533046
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.996037569196517
SUCCESS,Trace 1,62,20.49201881659369
FAIL,Trace 1,62,19.602594985330708
SUCCESS,Trace 1,62,21.159972072360578
SUCCESS,Trace 1,62,22.061611280317017
SUCCESS,Trace 1,62,20.4222671321181
SUCCESS,Trace 1,62,20.504234384981626
SUCCESS,Trace 1,62,20.340299919003346
FAIL,Trace 1,62,19.930463840720176
SUCCESS,Trace 1,62,20.586201519262595
SUCCESS,Trace 1,62,20.81970042869693
SUCCESS,Trace 1,62,20.094398273739902
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.914070352179106
SUCCESS,Trace 1,62,20.586201480177582
SUCCESS,Trace 1,62,21.241939283207422
SUCCESS,Trace 1,62,20.586201497236107
FAIL,Trace 1,62,19.520627766870785
SUCCESS,Trace 1,62,20.176365453688824
SUCCESS,Trace 1,62,20.09439826371861
SUCCESS,Trace 1,62,20.750135962587407
SUCCESS,Trace 1,62,21.240302285022402
SUCCESS,Trace 1,62,20.668168751919858
SUCCESS,Trace 1,62,20.09439824057407
SUCCESS,Trace 1,62,20.422267096714528
SUCCESS,Trace 1,62,20.25833268674539
SUCCESS,Trace 1,62,22.06158304213893
SUCCESS,Trace 1,62,20.01243104740113
SUCCESS,Trace 1,62,20.668168794907526
SUCCESS,Trace 1,62,20.996037579925932
SUCCESS,Trace 1,62,21.241938755160472
SUCCESS,Trace 1,62,21.159972050150888
SUCCESS,Trace 1,62,20.094398302847754
SUCCESS,Trace 1,62,21.979644142213417
FAIL,Trace 1,62,19.110791730849826
SUCCESS,Trace 1,62,21.803494203286093
SUCCESS,Trace 1,62,22.212902977771943
SUCCESS,Trace 1,62,22.143578607527935
SUCCESS,Trace 1,62,22.88128360373075
FAIL,Trace 1,62,19.520627768313297
SUCCESS,Trace 1,62,20.91407039870374
SUCCESS,Trace 1,62,20.42226709303309
SUCCESS,Trace 1,62,20.258332673151145
SUCCESS,Trace 1,62,20.176365447338963
SUCCESS,Trace 1,62,20.258329070982384
SUCCESS,Trace 1,62,21.323906472396448
SUCCESS,Trace 1,62,20.914070342342697
SUCCESS,Trace 1,62,20.17636514100872
FAIL,Trace 1,62,19.930463853429575
SUCCESS,Trace 1,62,21.733742585442123
SUCCESS,Trace 1,62,20.75013594261425
SUCCESS,Trace 1,62,20.996037584836365
SUCCESS,Trace 1,62,21.323906383652513
SUCCESS,Trace 1,62,20.164149960533518
SUCCESS,Trace 1,62,20.0943982598574
SUCCESS,Trace 1,62,20.504231163796774
SUCCESS,Trace 1,62,21.569808129686226
SUCCESS,Trace 1,62,20.586201546244695
SUCCESS,Trace 1,62,20.4222671321181
SUCCESS,Trace 1,62,20.176365497257162
SUCCESS,Trace 1,62,20.17636553634217
SUCCESS,Trace 1,62,20.504234340471523
SUCCESS,Trace 1,62,20.42226711697854
FAIL,Trace 1,62,19.7665293997423
SUCCESS,Trace 1,62,20.34029989184377
SUCCESS,Trace 1,62,20.668168760487646
SUCCESS,Trace 1,62,20.176365480670952
SUCCESS,Trace 1,62,20.91407042476819
SUCCESS,Trace 1,62,20.176365472474952
SUCCESS,Trace 1,62,22.307512916502404
SUCCESS,Trace 1,62,21.73374305150597
SUCCESS,Trace 1,62,20.49201878143922
SUCCESS,Trace 1,62,20.25833270588859
SUCCESS,Trace 1,62,21.241939228083286
SUCCESS,Trace 1,62,20.17636543075276
SUCCESS,Trace 1,62,20.831887585217835
SUCCESS,Trace 1,62,21.815709740811265
FAIL,Trace 1,62,19.602595011495694
SUCCESS,Trace 1,62,20.668140356657936
SUCCESS,Trace 1,62,20.74871116031471
FAIL,Trace 1,62,18.700955714831117
SUCCESS,Trace 1,62,20.34029992952848
SUCCESS,Trace 1,62,20.094398260116577
SUCCESS,Trace 1,62,20.012431085937546
SUCCESS,Trace 1,62,20.34029989657479
SUCCESS,Trace 1,62,20.340299986895506
SUCCESS,Trace 1,62,21.48784086352489
SUCCESS,Trace 1,62,20.176365470275034
SUCCESS,Trace 1,62,21.65177531319928
SUCCESS,Trace 1,62,20.586201144998675
