Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,1258.2582926750183
SUCCESS,Trace 1,62,1233.102821111679
SUCCESS,Trace 1,62,1258.2340943813324
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1238.2582926750183
FAIL,Trace 1,62,1188.2582914829254
SUCCESS,Trace 1,62,1239.9777507781982
SUCCESS,Trace 1,62,1248.234941959381
SUCCESS,Trace 1,62,1268.2018661499023
SUCCESS,Trace 1,62,1288.23495388031
SUCCESS,Trace 1,62,1213.2349157333374
SUCCESS,Trace 1,62,1208.2349121570587
FAIL,Trace 1,62,1148.2582926750183
SUCCESS,Trace 1,62,1238.1837713718414
FAIL,Trace 1,62,1193.202093243599
FAIL,Trace 1,62,1198.2582926750183
FAIL,Trace 1,62,1184.9445509910583
SUCCESS,Trace 1,62,1208.2253122329712
SUCCESS,Trace 1,62,1208.1739914417267
SUCCESS,Trace 1,62,1280.0404167175293
SUCCESS,Trace 1,62,1263.201789855957
SUCCESS,Trace 1,62,1238.258296251297
SUCCESS,Trace 1,62,1213.2581794261932
SUCCESS,Trace 1,62,1213.2131886482239
SUCCESS,Trace 1,62,1283.2115602493286
SUCCESS,Trace 1,62,1333.258295059204
SUCCESS,Trace 1,62,1268.1923353672028
SUCCESS,Trace 1,62,1248.2348155975342
SUCCESS,Trace 1,62,1245.0011050701141
SUCCESS,Trace 1,62,1228.2349169254303
SUCCESS,Trace 1,62,1207.8069722652435
SUCCESS,Trace 1,62,1223.2349467277527
SUCCESS,Trace 1,62,1213.2099294662476
SUCCESS,Trace 1,62,1213.2582926750183
SUCCESS,Trace 1,62,1203.2582926750183
FAIL,Trace 1,62,1168.2582890987396
SUCCESS,Trace 1,62,1238.21151137352
SUCCESS,Trace 1,62,1200.0011122226715
SUCCESS,Trace 1,62,1268.2657325267792
SUCCESS,Trace 1,62,1348.2349395751953
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1243.217158317566
SUCCESS,Trace 1,62,1273.2582902908325
FAIL,Trace 1,62,1163.234919309616
SUCCESS,Trace 1,62,1248.155016899109
SUCCESS,Trace 1,62,1218.2015705108643
SUCCESS,Trace 1,62,1263.2092320919037
SUCCESS,Trace 1,62,1223.201961517334
FAIL,Trace 1,62,1168.2582867145538
SUCCESS,Trace 1,62,1232.7809035778046
FAIL,Trace 1,62,1188.687218427658
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1213.2099294662476
SUCCESS,Trace 1,62,1283.2582926750183
SUCCESS,Trace 1,62,1230.478138923645
SUCCESS,Trace 1,62,1275.000010728836
SUCCESS,Trace 1,62,1308.2348132133484
FAIL,Trace 1,62,1193.2581627368927
SUCCESS,Trace 1,62,1237.830194234848
SUCCESS,Trace 1,62,1243.2582926750183
SUCCESS,Trace 1,62,1218.2099604606628
SUCCESS,Trace 1,62,1213.201961517334
SUCCESS,Trace 1,62,1223.1914710998535
SUCCESS,Trace 1,62,1213.2099306583405
SUCCESS,Trace 1,62,1218.201961517334
SUCCESS,Trace 1,62,1319.5720291137695
SUCCESS,Trace 1,62,1218.234941959381
SUCCESS,Trace 1,62,1213.1835162639618
SUCCESS,Trace 1,62,1213.2582986354828
SUCCESS,Trace 1,62,1255.0639390945435
FAIL,Trace 1,62,1178.2349145412445
SUCCESS,Trace 1,62,1233.2115125656128
SUCCESS,Trace 1,62,1250.0637984275818
SUCCESS,Trace 1,62,1275.0084102153778
FAIL,Trace 1,62,1188.2099616527557
SUCCESS,Trace 1,62,1248.258296251297
SUCCESS,Trace 1,62,1258.2345509529114
SUCCESS,Trace 1,62,1235.0081372261047
SUCCESS,Trace 1,62,1301.5081667900085
SUCCESS,Trace 1,62,1203.2582902908325
SUCCESS,Trace 1,62,1223.2582926750183
SUCCESS,Trace 1,62,1333.234944343567
SUCCESS,Trace 1,62,1208.2582926750183
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1268.1874513626099
SUCCESS,Trace 1,62,1238.1277239322662
FAIL,Trace 1,62,1163.2253015041351
SUCCESS,Trace 1,62,1218.2582890987396
SUCCESS,Trace 1,62,1280.3709149360657
FAIL,Trace 1,62,1191.5154772996902
SUCCESS,Trace 1,62,1254.9766206741333
SUCCESS,Trace 1,62,1268.234941959381
SUCCESS,Trace 1,62,1251.452659368515
SUCCESS,Trace 1,62,1269.9766504764557
SUCCESS,Trace 1,62,1273.2238626480103
SUCCESS,Trace 1,62,1264.998198747635
SUCCESS,Trace 1,62,1208.2582938671112
SUCCESS,Trace 1,62,1294.9767339229584
SUCCESS,Trace 1,62,1208.1923294067383
FAIL,Trace 1,62,1173.172949552536
SUCCESS,Trace 1,62,1283.2349395751953
SUCCESS,Trace 1,62,1203.2582926750183
SUCCESS,Trace 1,62,1323.2581639289856
SUCCESS,Trace 1,62,1223.2099604606628
SUCCESS,Trace 1,62,1268.1908071041107
SUCCESS,Trace 1,62,1248.20179104805
FAIL,Trace 1,62,1168.2069087028503
FAIL,Trace 1,62,1181.4526349306107
SUCCESS,Trace 1,62,1218.209958076477
SUCCESS,Trace 1,62,1234.9439132213593
SUCCESS,Trace 1,62,1263.234943151474
SUCCESS,Trace 1,62,1221.0310226678848
SUCCESS,Trace 1,62,1258.2099294662476
SUCCESS,Trace 1,62,1223.2582938671112
SUCCESS,Trace 1,62,1323.2098305225372
FAIL,Trace 1,62,1193.182876110077
FAIL,Trace 1,62,1183.1875824928284
SUCCESS,Trace 1,62,1213.234941959381
FAIL,Trace 1,62,1198.2099294662476
SUCCESS,Trace 1,62,1268.2582998275757
SUCCESS,Trace 1,62,1223.1309401988983
SUCCESS,Trace 1,62,1228.178629875183
SUCCESS,Trace 1,62,1201.4333993196487
SUCCESS,Trace 1,62,1213.2349407672882
SUCCESS,Trace 1,62,1288.2582998275757
SUCCESS,Trace 1,62,1223.258295059204
SUCCESS,Trace 1,62,1233.1214153766632
FAIL,Trace 1,62,1148.2582938671112
SUCCESS,Trace 1,62,1228.2582926750183
FAIL,Trace 1,62,1174.9766504764557
FAIL,Trace 1,62,1198.234943151474
SUCCESS,Trace 1,62,1211.3444596529007
SUCCESS,Trace 1,62,1293.234941959381
SUCCESS,Trace 1,62,1248.2582926750183
SUCCESS,Trace 1,62,1208.2019329071045
SUCCESS,Trace 1,62,1253.2582902908325
SUCCESS,Trace 1,62,1203.1409275531769
FAIL,Trace 1,62,1138.2582938671112
SUCCESS,Trace 1,62,1293.1784105300903
SUCCESS,Trace 1,62,1253.2518124580383
SUCCESS,Trace 1,62,1228.2099604606628
SUCCESS,Trace 1,62,1240.4620790481567
SUCCESS,Trace 1,62,1203.1448006629944
SUCCESS,Trace 1,62,1238.2237994670868
SUCCESS,Trace 1,62,1213.234943151474
FAIL,Trace 1,62,1188.2019346952438
SUCCESS,Trace 1,62,1213.2349133491516
SUCCESS,Trace 1,62,1230.9976375102997
FAIL,Trace 1,62,1183.234943151474
SUCCESS,Trace 1,62,1231.436698436737
