Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,30.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,31.0
SUCCESS,Trace 1,62,30.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,32.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,41.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,17.0
SUCCESS,Trace 1,62,37.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,6.0
SUCCESS,Trace 1,62,3.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,4.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,38.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,2.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,31.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,42.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,44.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,33.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,45.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,57.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,45.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,19.0
SUCCESS,Trace 1,62,40.0
SUCCESS,Trace 1,62,55.0
SUCCESS,Trace 1,62,30.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,48.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,39,36.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,26.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,0.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,39.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,57.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,15.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,43,41.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,32.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,10.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,33.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,31.0
SUCCESS,Trace 1,62,29.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,34.0
SUCCESS,Trace 1,62,48.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,47.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,32,29.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,57.0
SUCCESS,Trace 1,62,53.0
SUCCESS,Trace 1,62,51.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,15,13.0
SUCCESS,Trace 1,62,52.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,48.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,57.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,24.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,58.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,19.0
SUCCESS,Trace 1,62,42.0
SUCCESS,Trace 1,62,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,36.0
SUCCESS,Trace 1,62,49.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,24.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,39.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,27.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,49.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,45.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,49.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,2.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,18,16.0
FAIL,Trace 1,62,61.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,18.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,53.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,13.0
SUCCESS,Trace 1,62,33.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,43.0
SUCCESS,Trace 1,62,41.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,33.0
SUCCESS,Trace 1,62,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,47.0
SUCCESS,Trace 1,62,0.0
SUCCESS,Trace 1,62,58.0
SUCCESS,Trace 1,62,59.0
SUCCESS,Trace 1,62,40.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,59.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,29.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,18.0
SUCCESS,Trace 1,62,26.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,0.0
FAIL,Trace 1,62,61.0
SUCCESS,Trace 1,62,60.0
SUCCESS,Trace 1,62,8.0
