Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,62,21.078004837036133
SUCCESS,Trace 1,62,20.17636553185885
SUCCESS,Trace 1,62,20.83210309658578
SUCCESS,Trace 1,62,21.569808299039796
SUCCESS,Trace 1,62,20.094398217638005
SUCCESS,Trace 1,62,21.405873617196082
SUCCESS,Trace 1,62,20.586201558347607
SUCCESS,Trace 1,62,21.569620918446855
SUCCESS,Trace 1,62,20.83210313830797
SUCCESS,Trace 1,62,20.176365497257162
SUCCESS,Trace 1,62,22.061611397273495
SUCCESS,Trace 1,62,21.15997195319622
SUCCESS,Trace 1,62,20.58620149836138
SUCCESS,Trace 1,62,20.504234345232852
SUCCESS,Trace 1,62,20.25833268338979
SUCCESS,Trace 1,62,20.83191603950658
SUCCESS,Trace 1,62,20.914070247893292
SUCCESS,Trace 1,62,22.307513061675028
SUCCESS,Trace 1,62,20.504234267062827
SUCCESS,Trace 1,62,20.422267102268783
SUCCESS,Trace 1,62,22.30751294314884
SUCCESS,Trace 1,62,20.176365490221237
SUCCESS,Trace 1,62,21.230957604277126
SUCCESS,Trace 1,62,20.176365467820023
SUCCESS,Trace 1,62,20.832103145293488
SUCCESS,Trace 1,62,21.15994733984756
SUCCESS,Trace 1,62,21.40445224574355
SUCCESS,Trace 1,62,20.914070389261916
SUCCESS,Trace 1,62,20.25833270588859
SUCCESS,Trace 1,62,20.176365442974962
SUCCESS,Trace 1,62,20.340299919003346
SUCCESS,Trace 1,62,22.29652848439981
SUCCESS,Trace 1,62,21.405873661172755
SUCCESS,Trace 1,62,21.96865949474397
SUCCESS,Trace 1,62,20.340299899860145
SUCCESS,Trace 1,62,21.651587960646193
SUCCESS,Trace 1,62,22.061586692684987
SUCCESS,Trace 1,62,20.50423435493895
SUCCESS,Trace 1,62,21.078004808102428
SUCCESS,Trace 1,62,21.40587367618178
SUCCESS,Trace 1,62,21.487816421482364
SUCCESS,Trace 1,62,20.914070420512722
SUCCESS,Trace 1,62,20.832103126795893
SUCCESS,Trace 1,62,22.224121042562103
SUCCESS,Trace 1,62,22.132784493117015
SUCCESS,Trace 1,62,21.73355200251595
SUCCESS,Trace 1,62,20.996037526608152
SUCCESS,Trace 1,62,21.97961920597514
SUCCESS,Trace 1,62,23.535574655063815
SUCCESS,Trace 1,62,20.176365471945594
